timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-01-16,71.6800,72.2629,71.3800,71.9200,71.9200,1972250,0.0000,1.0000
2019-01-15,71.7400,72.6300,71.4100,72.0600,72.0600,1922802,0.0000,1.0000
2019-01-14,70.7800,72.0600,70.2700,71.6300,71.6300,3392992,0.0000,1.0000
2019-01-11,72.8900,73.1000,71.1000,71.4600,71.4600,2856820,0.0000,1.0000
2019-01-10,73.3900,73.8800,72.4500,73.6400,73.6400,1628260,0.0000,1.0000
2019-01-09,74.8700,75.6700,74.4100,74.7700,74.7700,1886160,0.0000,1.0000
2019-01-08,73.9100,74.6100,73.0600,74.6100,74.6100,2347042,0.0000,1.0000
2019-01-07,71.7900,73.5600,71.5900,72.9800,72.9800,1811756,0.0000,1.0000
2019-01-04,70.0200,72.0050,69.9900,71.6300,71.6300,2019932,0.0000,1.0000
2019-01-03,70.9600,70.9600,69.0700,69.2500,69.2500,2271193,0.0000,1.0000
2019-01-02,69.9600,71.7200,69.5600,71.3500,71.3500,1881210,0.0000,1.0000
2018-12-31,70.8600,71.6200,70.5600,71.3400,71.3400,1528456,0.0000,1.0000
2018-12-28,70.8200,71.7200,69.8500,70.5700,70.5700,1838788,0.0000,1.0000
2018-12-27,69.2000,70.4400,67.8300,70.4200,70.4200,2541813,0.0000,1.0000
2018-12-26,67.5200,69.7500,67.1750,69.7500,69.7500,3361105,0.0000,1.0000
2018-12-24,69.6400,69.7600,67.3200,67.3200,67.3200,1525540,0.0000,1.0000
2018-12-21,70.1200,71.9800,69.2200,69.8700,69.8700,4266064,0.0000,1.0000
2018-12-20,71.5200,72.6800,69.2000,70.0500,70.0500,3651859,0.0000,1.0000
2018-12-19,73.7900,74.4900,71.3800,71.8400,71.8400,2571284,0.0000,1.0000
2018-12-18,73.8700,75.1200,73.1600,73.7800,73.7800,2561555,0.0000,1.0000
2018-12-17,74.3300,74.6400,72.5900,73.0500,73.0500,2538009,0.0000,1.0000
2018-12-14,75.5300,77.1000,74.8600,75.1500,75.1500,1698599,0.0000,1.0000
2018-12-13,76.9300,77.2700,75.8500,76.2200,76.2200,2033329,0.0000,1.0000
