timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-01-16,56.1100,56.3900,55.9400,56.2900,56.2900,2222636,0.0000,1.0000
2019-01-15,55.9200,56.8300,55.9200,56.3500,56.3500,2722929,0.0000,1.0000
2019-01-14,56.2100,56.3100,55.3300,56.0400,56.0400,3078571,0.0000,1.0000
2019-01-11,56.7600,56.9500,56.3300,56.4700,56.4700,2056810,0.0000,1.0000
2019-01-10,56.3700,57.1500,56.0700,56.8600,56.8600,1334930,0.0000,1.0000
2019-01-09,56.4200,56.6900,55.5900,56.0600,56.0600,1880899,0.0000,1.0000
2019-01-08,55.8900,56.8000,55.8900,56.6100,56.6100,1485529,0.0000,1.0000
2019-01-07,55.5500,56.2000,55.3944,55.9500,55.9500,1419126,0.0000,1.0000
2019-01-04,55.4500,56.1260,55.1300,55.8900,55.8900,2342125,0.0000,1.0000
2019-01-03,55.7500,56.5100,55.6000,55.6700,55.6700,1447830,0.0000,1.0000
2019-01-02,56.7100,56.8200,55.6500,55.8800,55.8800,1619680,0.0000,1.0000
2018-12-31,56.6200,56.7800,56.0100,56.7700,56.7700,1623540,0.0000,1.0000
2018-12-28,56.9500,57.5500,56.3700,56.5300,56.5300,1638427,0.0000,1.0000
2018-12-27,56.5900,56.8500,55.5200,56.7300,56.7300,1993886,0.0000,1.0000
2018-12-26,55.9100,56.6100,55.1800,56.5800,56.5800,1573123,0.0000,1.0000
2018-12-24,58.4500,58.8300,55.8300,55.9100,55.9100,1331978,0.0000,1.0000
2018-12-21,58.0400,59.5765,57.5800,58.2800,58.2800,5400818,0.0000,1.0000
2018-12-20,57.9600,59.2500,57.1100,58.0100,58.0100,2751718,0.0000,1.0000
2018-12-19,58.3700,58.6700,57.6800,58.0800,58.0800,1911573,0.0000,1.0000
2018-12-18,58.7500,59.4500,57.9800,58.2500,58.2500,1881383,0.0000,1.0000
2018-12-17,60.7300,60.9400,58.2700,58.3500,58.3500,2480483,0.0000,1.0000
2018-12-14,60.3400,60.8700,60.0700,60.5400,60.5400,1572994,0.0000,1.0000
2018-12-13,59.7900,60.7700,59.7000,60.2300,60.2300,1858914,0.0000,1.0000
2018-12-12,60.5800,61.0000,59.7250,59.8300,59.8300,1495754,0.0000,1.0000
2018-12-11,60.4900,61.0000,60.2500,60.6300,60.6300,1365529,0.0000,1.0000
2018-12-10,60.3000,60.6100,59.0300,60.5100,60.5100,1917787,0.0000,1.0000
2018-12-07,60.8200,60.9100,59.9201,60.3100,60.3100,1682727,0.0000,1.0000
2018-12-06,60.2900,60.8100,59.4300,60.7700,60.7700,2016172,0.0000,1.0000
2018-12-04,59.9400,60.9600,59.8700,60.0400,60.0400,2045420,0.0000,1.0000
2018-12-03,59.2000,59.7200,58.6800,59.7100,59.7100,1294891,0.0000,1.0000
2018-11-30,58.9900,59.5500,58.4800,59.3700,59.3700,2113051,0.0000,1.0000
2018-11-29,59.2400,59.2500,58.1100,58.8200,58.8200,1656882,0.0000,1.0000
2018-11-28,59.4900,59.9100,58.8300,59.1300,59.1300,1380971,0.4750,1.0000
2018-11-27,59.5500,59.9900,59.0300,59.9800,59.5020,1537394,0.0000,1.0000
2018-11-26,58.5700,59.5400,58.5700,59.5300,59.0556,1615838,0.0000,1.0000
