timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-01-16,37.9500,38.6000,37.7300,38.4800,38.4800,4644565,0.0000,1.0000
2019-01-15,37.9500,38.4700,37.8200,38.1200,38.1200,5188628,0.0000,1.0000
2019-01-14,38.1300,38.2100,37.2900,38.0000,38.0000,4998661,0.0000,1.0000
2019-01-11,38.5700,38.5700,38.0900,38.3700,38.3700,3506869,0.0000,1.0000
2019-01-10,37.9900,38.6200,37.8400,38.5800,38.5800,4081369,0.0000,1.0000
2019-01-09,38.0300,38.2189,37.7150,37.9500,37.9500,6366263,0.0000,1.0000
2019-01-08,37.5900,38.1900,37.4300,38.1800,38.1800,5718835,0.0000,1.0000
2019-01-07,37.1200,37.6800,37.0100,37.6400,37.6400,5800418,0.0000,1.0000
2019-01-04,36.2900,37.3000,36.2900,37.1700,37.1700,4453523,0.0000,1.0000
2019-01-03,36.7400,37.0800,36.4950,36.7100,36.7100,3603013,0.0000,1.0000
2019-01-02,37.3900,37.5400,36.5150,36.7200,36.7200,3990584,0.0000,1.0000
2018-12-31,37.3400,37.5700,36.9300,37.5500,37.5500,5770126,0.0000,1.0000
2018-12-28,37.0900,37.6100,36.9700,37.2600,37.2600,3497301,0.0000,1.0000
2018-12-27,36.5500,37.0300,35.7700,37.0300,37.0300,4305309,0.0000,1.0000
2018-12-26,35.8400,36.6300,35.3300,36.6000,36.6000,3697103,0.0000,1.0000
2018-12-24,37.2000,37.3800,35.5700,35.8400,35.8400,2594489,0.0000,1.0000
2018-12-21,37.3200,38.4250,36.9400,37.1900,37.1900,8925920,0.0000,1.0000
2018-12-20,37.4100,37.8100,36.9000,37.4000,37.4000,7329636,0.0000,1.0000
2018-12-19,37.5100,38.0610,37.2400,37.3600,37.3600,7416190,0.0000,1.0000
2018-12-18,37.8800,38.1800,37.3150,37.6300,37.6300,7470511,0.0000,1.0000
2018-12-17,39.2200,39.3300,37.5700,37.7200,37.7200,5668026,0.0000,1.0000
2018-12-14,39.4700,39.7800,38.9000,39.1200,39.1200,11758644,0.0000,1.0000
2018-12-13,39.2000,39.8300,39.0200,39.4400,39.4400,9558032,0.0000,1.0000
2018-12-12,39.6600,39.8800,39.2200,39.2300,39.2300,12897502,0.0000,1.0000
2018-12-11,39.5500,39.8200,39.0400,39.6100,39.6100,3119145,0.0000,1.0000
2018-12-10,39.3000,39.6700,38.6900,39.5400,39.5400,3783562,0.0000,1.0000
2018-12-07,38.9900,39.4100,38.4900,39.2300,39.2300,3541480,0.0000,1.0000
2018-12-06,38.6900,39.1100,37.9900,39.0800,39.0800,5537660,0.0000,1.0000
2018-12-04,38.7100,39.2300,38.4700,38.5500,38.5500,6133219,0.0000,1.0000
2018-12-03,37.8700,38.6400,37.6900,38.5900,38.5900,3825369,0.0000,1.0000
2018-11-30,37.1800,37.9500,37.1200,37.8300,37.8300,6353611,0.0000,1.0000
2018-11-29,37.5200,37.5400,36.6500,37.1500,37.1500,5133329,0.0000,1.0000
2018-11-28,38.0000,38.1100,37.4100,37.6000,37.6000,3736060,0.0000,1.0000
2018-11-27,37.6800,37.9900,37.4000,37.8900,37.8900,3098735,0.0000,1.0000
2018-11-26,37.5000,37.7400,37.1250,37.6900,37.6900,2953141,0.0000,1.0000
2018-11-23,37.3300,37.6700,37.0200,37.5000,37.5000,1629298,0.0000,1.0000
2018-11-21,37.6100,37.7400,37.0800,37.3000,37.3000,4497371,0.0000,1.0000
2018-11-20,38.7100,38.8400,37.4900,37.9500,37.9500,5943980,0.0000,1.0000
2018-11-19,38.7400,39.2700,38.4000,38.5400,38.5400,5198134,0.0000,1.0000
