timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-01-16,199.3000,200.4400,197.5950,198.8900,198.8900,3236379,0.0000,1.0000
2019-01-15,196.3000,199.9900,196.0400,199.3800,199.3800,2859832,0.0000,1.0000
2019-01-14,199.4900,200.0000,196.6600,196.7800,196.7800,3378576,0.0000,1.0000
2019-01-11,200.6400,200.9900,198.0000,200.5600,200.5600,3379651,0.0000,1.0000
2019-01-10,200.3700,203.5200,199.4700,202.6800,202.6800,3131263,0.0000,1.0000
2019-01-09,202.3600,202.9000,199.6300,200.3700,200.3700,2869689,0.0000,1.0000
2019-01-08,199.2000,201.1200,196.6800,200.6100,200.6100,3290259,0.0000,1.0000
2019-01-07,194.7600,199.3600,194.0000,198.0700,198.0700,3032475,0.0000,1.0000
2019-01-04,191.4600,196.5150,190.8400,195.4400,195.4400,4193438,0.0000,1.0000
2019-01-03,192.1500,194.1800,188.6700,188.9800,188.9800,3973882,0.0000,1.0000
2019-01-02,192.5200,193.2000,188.9500,191.9000,191.9000,3009062,0.0000,1.0000
2018-12-31,191.9300,195.8000,191.6100,194.6700,194.6700,2764784,0.0000,1.0000
2018-12-28,191.6300,194.5900,190.0600,190.7300,190.7300,2477489,0.0000,1.0000
2018-12-27,185.3600,190.4100,183.6200,190.3300,190.3300,3137888,0.0000,1.0000
2018-12-26,179.0400,188.0300,178.8800,187.8600,187.8600,2868169,0.0000,1.0000
2018-12-24,179.5000,182.9300,178.2900,178.4000,178.4000,2205130,0.0000,1.0000
2018-12-21,183.8500,187.6100,179.2103,180.2100,180.2100,7829957,0.0000,1.0000
2018-12-20,185.0600,186.5400,182.7200,184.9600,184.9600,3806229,0.0000,1.0000
2018-12-19,187.0200,191.7600,182.5300,185.4900,185.4900,3995773,0.0000,1.0000
2018-12-18,191.4400,191.9400,184.4100,187.1000,187.1000,3164339,0.0000,1.0000
2018-12-17,192.2400,194.4500,188.6400,190.0800,190.0800,2919350,0.0000,1.0000
2018-12-14,195.0400,196.1499,191.6600,192.0700,192.0700,2981307,0.0000,1.0000
2018-12-13,196.7700,197.6600,195.2200,197.5300,197.5300,2129816,0.0000,1.0000
2018-12-12,198.0900,199.4400,196.3000,196.4100,196.4100,2665759,0.0000,1.0000
2018-12-11,195.9100,198.4100,194.3400,196.1800,196.1800,3047474,0.0000,1.0000
2018-12-10,193.0300,194.7900,188.1900,194.0900,194.0900,2718654,0.0000,1.0000
2018-12-07,197.8900,198.3959,191.0500,191.4400,191.4400,3152401,0.0000,1.0000
2018-12-06,195.7200,199.0100,193.2000,199.0100,199.0100,3437348,0.0000,1.0000
2018-12-04,204.6000,205.7400,197.2900,197.7600,197.7600,3881136,0.0000,1.0000
2018-12-03,208.1000,208.3000,200.3770,202.9300,202.9300,4034971,0.0000,1.0000
2018-11-30,202.1500,208.9900,201.7900,208.2500,208.2500,4537602,0.0000,1.0000
2018-11-29,199.7800,204.0000,199.5300,202.3700,202.3700,1937817,0.0000,1.0000
2018-11-28,196.9600,202.0200,196.0600,201.4200,201.4200,2618174,0.0000,1.0000
2018-11-27,193.1600,197.2300,191.8700,197.1000,197.1000,2329359,0.0000,1.0000
2018-11-26,194.9400,196.3100,192.4900,194.3000,194.3000,2194720,0.0000,1.0000
2018-11-23,191.2500,194.4800,190.7727,192.5700,192.5700,1349248,0.0000,1.0000
2018-11-21,195.1700,197.5500,192.6100,192.7700,192.7700,2173573,0.0000,1.0000
2018-11-20,196.3200,198.6800,192.7600,196.4400,196.4400,3288793,0.0000,1.0000
2018-11-19,194.9200,196.7700,192.8700,194.9100,194.9100,2629764,0.0000,1.0000
2018-11-16,192.3600,195.2400,191.6900,194.1800,194.1800,3862436,0.0000,1.0000
2018-11-15,188.3400,192.6300,187.1201,192.4500,192.4500,2607461,1.3200,1.0000
2018-11-14,192.0300,193.4000,189.6600,190.3600,189.0632,2850387,0.0000,1.0000
2018-11-13,192.9100,194.8200,191.0300,191.5500,190.2451,2232189,0.0000,1.0000
2018-11-12,193.6500,194.7200,190.4800,191.5600,190.2551,2109083,0.0000,1.0000
2018-11-09,195.3700,196.9100,192.1800,193.1600,191.8442,2344859,0.0000,1.0000
2018-11-08,197.5400,198.2800,195.2789,196.0200,194.6847,2636622,0.0000,1.0000
2018-11-07,192.8100,197.7300,192.0100,197.6200,196.2738,3077760,0.0000,1.0000
2018-11-06,190.2100,192.7000,189.5235,190.7500,189.4506,2138994,0.0000,1.0000
2018-11-05,187.6800,190.7200,187.5500,189.9200,188.6262,2713481,0.0000,1.0000
2018-11-02,194.2900,195.3450,185.8250,187.0600,185.7857,3696456,0.0000,1.0000
2018-11-01,192.8100,194.3800,190.9600,192.9000,191.5859,2827264,0.0000,1.0000
2018-10-31,189.0800,195.3300,189.0400,192.7900,191.4767,4540996,0.0000,1.0000
2018-10-30,189.4300,191.0000,187.0269,189.0800,187.7919,4040645,0.0000,1.0000
2018-10-29,189.3200,190.9100,184.8011,188.1900,186.9080,3829540,0.0000,1.0000
2018-10-26,185.4000,187.3300,183.2750,185.9800,184.7131,4580424,0.0000,1.0000
2018-10-25,188.6600,190.5000,181.3100,188.1000,186.8186,4983685,0.0000,1.0000
2018-10-24,196.9400,197.9590,187.3700,187.8800,186.6001,4288295,0.0000,1.0000
2018-10-23,196.3000,199.0900,193.7200,197.6400,196.2936,2553484,0.0000,1.0000
2018-10-22,201.1600,201.8000,197.4700,198.0200,196.6710,2717474,0.0000,1.0000
2018-10-19,202.7400,205.1200,201.4500,201.8000,200.4253,2692496,0.0000,1.0000
2018-10-18,203.1700,204.5100,200.2803,202.7200,201.3390,2433602,0.0000,1.0000
2018-10-17,201.4100,203.3100,198.9400,202.7700,201.3887,2459725,0.0000,1.0000
2018-10-16,197.2200,202.6800,196.2200,202.3400,200.9616,2261482,0.0000,1.0000
2018-10-15,196.2000,198.4100,195.0000,195.5900,194.2576,2091138,0.0000,1.0000
2018-10-12,195.6200,198.0850,194.1500,197.3900,196.0453,3231434,0.0000,1.0000
2018-10-11,201.5500,202.9600,192.3800,193.8500,192.5295,4175230,0.0000,1.0000
2018-10-10,205.0000,206.3500,200.7700,201.2000,199.8294,4147984,0.0000,1.0000
2018-10-09,205.7500,208.0800,204.4900,206.0000,204.5967,2509197,0.0000,1.0000
2018-10-08,203.3700,206.1300,203.2300,205.5700,204.1696,2878084,0.0000,1.0000
2018-10-05,204.4500,206.0900,201.8300,204.0200,202.6302,2481146,0.0000,1.0000
2018-10-04,206.0900,207.1500,200.8100,203.4700,202.0839,3219756,0.0000,1.0000
2018-10-03,208.2500,208.2500,206.6400,206.9000,205.4906,2258779,0.0000,1.0000
2018-10-02,206.4200,208.1000,206.0900,207.6700,206.2553,2172063,0.0000,1.0000
2018-10-01,207.7300,209.3400,206.6200,206.9100,205.5005,2518267,0.0000,1.0000
2018-09-28,208.5400,208.8000,206.7700,207.2900,205.8779,3238218,0.0000,1.0000
2018-09-27,207.4100,210.1900,206.8400,208.8900,207.4670,2571239,0.0000,1.0000
2018-09-26,206.2900,208.8800,206.2900,206.8300,205.4210,2162633,0.0000,1.0000
2018-09-25,208.2800,208.8950,206.2600,206.4600,205.0536,2556169,0.0000,1.0000
2018-09-24,204.5300,207.6700,204.1100,207.2100,205.7984,2641975,0.0000,1.0000
2018-09-21,205.6600,206.6234,204.1700,205.1000,203.7028,7313970,0.0000,1.0000
2018-09-20,203.6000,205.2500,203.0200,205.1000,203.7028,2225004,0.0000,1.0000
2018-09-19,202.6900,204.4000,201.5700,203.2000,201.8158,2205006,0.0000,1.0000
2018-09-18,200.4200,203.8700,199.2000,202.3400,200.9616,1982286,0.0000,1.0000
2018-09-17,200.2900,201.4500,199.5100,200.8100,199.4420,1950111,0.0000,1.0000
2018-09-14,203.6400,204.4200,200.0000,200.5800,199.2136,2504200,0.0000,1.0000
2018-09-13,200.2400,203.0900,199.4083,202.9300,201.5476,2780212,0.0000,1.0000
2018-09-12,199.6800,201.5000,198.1400,199.5000,198.1410,2133599,0.0000,1.0000
2018-09-11,201.0000,203.0000,199.2700,199.4700,198.1112,3386013,0.0000,1.0000
2018-09-10,197.3600,203.6900,196.3900,202.5000,201.1205,4310964,0.0000,1.0000
2018-09-07,195.4300,197.5500,194.7535,196.3000,194.9628,2604067,0.0000,1.0000
2018-09-06,197.5500,198.5900,195.1200,196.1500,194.8138,1797621,0.0000,1.0000
2018-09-05,197.1300,198.6700,196.8500,197.7500,196.4029,1808986,0.0000,1.0000
2018-09-04,199.2500,199.7500,195.3300,196.7300,195.3898,2293509,0.0000,1.0000
2018-08-31,199.8300,200.4684,198.3900,199.8100,198.4489,2981696,0.0000,1.0000
2018-08-30,199.5800,200.6900,198.7000,200.3500,198.9852,1992485,0.0000,1.0000
2018-08-29,197.7900,200.0000,196.9200,199.7500,198.3893,1775111,0.0000,1.0000
2018-08-28,199.0200,199.8300,198.0000,198.6200,197.2670,1644332,0.0000,1.0000
2018-08-27,197.5200,198.6550,196.7900,198.6000,197.2471,2034727,0.0000,1.0000
2018-08-24,196.8800,197.5000,195.5954,196.6400,195.3004,1358458,0.0000,1.0000
2018-08-23,197.3700,197.7499,195.6200,196.6000,195.2607,1351185,0.0000,1.0000
2018-08-22,197.1500,198.7500,195.8337,197.8400,196.4923,1709330,0.0000,1.0000
2018-08-21,197.9300,198.4000,196.7300,197.3100,195.9659,1667115,0.0000,1.0000
2018-08-20,197.8900,198.5000,196.8700,197.5600,196.2142,1747876,0.0000,1.0000
2018-08-17,196.2400,198.5100,195.2800,197.4200,196.0751,2183845,0.0000,1.0000
2018-08-16,194.4600,197.1300,192.7300,196.4400,195.1018,2361748,1.3200,1.0000
2018-08-15,194.8300,195.4800,192.8900,195.2600,192.6354,1900152,0.0000,1.0000
2018-08-14,195.9400,196.9600,194.8900,195.7600,193.1287,1240203,0.0000,1.0000
2018-08-13,194.6900,196.3200,193.7200,195.6100,192.9807,1802944,0.0000,1.0000
2018-08-10,193.3000,195.1800,192.2618,194.4200,191.8067,1769156,0.0000,1.0000
2018-08-09,195.4300,196.3240,193.8300,193.9700,191.3628,2766512,0.0000,1.0000
2018-08-08,198.5000,198.5000,195.0700,196.2000,193.5628,3145922,0.0000,1.0000
2018-08-07,197.6900,200.9000,197.6400,200.4000,197.7063,2349795,0.0000,1.0000
