timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-01-17,231.6000,235.0900,233.1100,233.6000,233.6000,37565,0.0000,1.0000
2019-01-16,231.6000,232.9700,230.1512,231.2700,231.2700,772088,0.0000,1.0000
2019-01-15,227.0100,231.1400,227.0100,230.7800,230.7800,845676,0.0000,1.0000
2019-01-14,227.4000,229.1800,226.3500,226.3800,226.3800,946600,0.0000,1.0000
2019-01-11,228.3800,229.5300,226.5800,228.8700,228.8700,937367,0.0000,1.0000
2019-01-10,226.3300,229.6900,225.3400,229.4500,229.4500,841094,0.0000,1.0000
2019-01-09,224.2600,229.0100,223.8200,227.4500,227.4500,1185908,0.0000,1.0000
2019-01-08,220.2200,223.0100,219.8500,222.7000,222.7000,1132035,0.0000,1.0000
2019-01-07,216.8200,222.7400,216.3400,218.6400,218.6400,1660542,0.0000,1.0000
2019-01-04,213.3000,218.5900,213.3000,216.9900,216.9900,1974950,0.0000,1.0000
2019-01-03,218.0900,218.7450,210.7200,211.2000,211.2000,1889961,0.0000,1.0000
2019-01-02,221.9700,223.0120,218.2200,220.0800,220.0800,1176777,0.0000,1.0000
2018-12-31,223.7300,225.9100,222.8200,225.3200,225.3200,665510,0.0000,1.0000
2018-12-28,223.8800,224.3700,221.0200,221.9900,221.9900,815535,0.0000,1.0000
2018-12-27,215.4300,222.2500,214.0400,222.2200,222.2200,1189246,0.0000,1.0000
2018-12-26,210.4200,217.8900,208.6200,217.8600,217.8600,980217,0.0000,1.0000
2018-12-24,213.4600,213.7700,209.8000,209.8500,209.8500,907762,0.0000,1.0000
2018-12-21,216.7400,220.0500,213.9348,214.2600,214.2600,2818348,0.0000,1.0000
2018-12-20,220.9300,223.1138,215.7500,217.4800,217.4800,1943621,0.0000,1.0000
2018-12-19,224.2800,228.6800,220.6400,222.2400,222.2400,1657325,0.0000,1.0000
2018-12-18,227.8500,228.0000,221.1200,223.1600,223.1600,1283554,0.0000,1.0000
2018-12-17,230.0000,230.2900,224.4050,225.8500,225.8500,1174330,0.0000,1.0000
2018-12-14,234.3200,234.6200,230.5200,231.4500,231.4500,1128314,0.0000,1.0000
2018-12-13,236.6500,238.3900,234.7200,236.8900,236.8900,1119985,0.0000,1.0000
2018-12-12,239.5500,241.7500,235.3900,235.5600,235.5600,1009699,0.0000,1.0000
