timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-01-16,49.6500,50.2550,49.1000,49.1300,49.1300,14958459,0.0000,1.0000
2019-01-15,48.2900,49.8300,48.0000,49.7200,49.7200,23116884,0.0000,1.0000
2019-01-14,48.3000,48.3700,47.5800,47.9700,47.9700,18296196,0.0000,1.0000
2019-01-11,47.5000,48.0200,47.1000,47.9900,47.9900,12470922,0.0000,1.0000
2019-01-10,47.0800,48.0100,46.4200,47.7200,47.7200,24947805,0.0000,1.0000
2019-01-09,48.0000,48.0000,46.7400,47.1800,47.1800,19719819,0.0000,1.0000
2019-01-08,48.7800,48.8800,47.0000,47.9900,47.9900,16415905,0.0000,1.0000
2019-01-07,47.0400,48.7400,46.3600,48.4100,48.4100,26804967,0.0000,1.0000
2019-01-04,45.8750,47.5500,45.8600,46.8900,46.8900,47515833,0.0000,1.0000
2019-01-03,46.9200,47.6200,44.3000,45.1200,45.1200,80351600,0.4100,1.0000
2019-01-02,51.3400,52.8400,51.3400,52.4300,51.9579,8441328,0.0000,1.0000
2018-12-31,51.0700,52.0058,51.0300,51.9800,51.5119,7369838,0.0000,1.0000
2018-12-28,50.6100,51.6950,50.5000,50.9400,50.4813,7686551,0.0000,1.0000
2018-12-27,49.6400,50.4100,48.7184,50.4100,49.9561,7919133,0.0000,1.0000
2018-12-26,48.8100,50.1000,47.8900,50.0300,49.5795,8389847,0.0000,1.0000
2018-12-24,49.4600,49.6900,48.7500,48.7600,48.3209,5580836,0.0000,1.0000
2018-12-21,50.2200,51.3800,49.6300,49.8200,49.3714,14465356,0.0000,1.0000
2018-12-20,50.2500,50.5900,49.7500,50.0600,49.6092,10181987,0.0000,1.0000
2018-12-19,51.8500,52.0000,49.8600,50.3900,49.9362,7811241,0.0000,1.0000
2018-12-18,51.3600,52.0500,51.0550,51.5600,51.0957,8410170,0.0000,1.0000
2018-12-17,51.9300,52.4400,50.7600,50.9200,50.4615,12517417,0.0000,1.0000
2018-12-14,53.2100,53.2600,51.9300,52.1200,51.6507,10708011,0.0000,1.0000
2018-12-13,53.5100,53.9350,53.3100,53.6400,53.1570,8455634,0.0000,1.0000
2018-12-12,53.0000,54.2500,52.9600,53.4400,52.9588,7447179,0.0000,1.0000
2018-12-11,53.0700,53.1700,51.9200,52.4300,51.9579,8788884,0.0000,1.0000
2018-12-10,53.2500,53.2900,51.3700,52.5800,52.1065,8036862,0.0000,1.0000
2018-12-07,53.2300,53.8000,52.7500,53.0800,52.6020,10462854,0.0000,1.0000
2018-12-06,52.1600,53.2500,51.6600,53.2500,52.7705,11399100,0.0000,1.0000
2018-12-04,53.4200,53.8300,51.9500,52.0300,51.5615,9190040,0.0000,1.0000
2018-12-03,53.5800,53.9900,52.9500,53.2800,52.8002,9599852,0.0000,1.0000
2018-11-30,51.8000,53.4800,51.7500,53.4600,52.9786,13932064,0.0000,1.0000
2018-11-29,51.9900,52.3700,51.3800,51.8200,51.3534,7466267,0.0000,1.0000
2018-11-28,51.4500,52.3300,51.2600,52.0000,51.5317,7995039,0.0000,1.0000
2018-11-27,50.6900,51.2500,49.8600,51.1500,50.6894,16857891,0.0000,1.0000
2018-11-26,53.3900,53.4700,52.3500,52.7300,52.2552,6750456,0.0000,1.0000
2018-11-23,52.9800,53.4400,52.6800,52.9300,52.4534,2328100,0.0000,1.0000
2018-11-21,53.8000,53.8800,52.9500,53.2000,52.7209,6934601,0.0000,1.0000
2018-11-20,53.0100,53.8100,52.9003,53.5200,53.0380,12617947,0.0000,1.0000
2018-11-19,53.9600,54.1300,52.9900,53.4800,52.9984,11082725,0.0000,1.0000
2018-11-16,53.5900,54.8100,53.4300,54.0700,53.5831,10125941,0.0000,1.0000
2018-11-15,52.1500,53.3500,51.7068,53.2700,52.7903,7628080,0.0000,1.0000
2018-11-14,52.8900,52.9400,52.2750,52.5900,52.1164,6382371,0.0000,1.0000
2018-11-13,53.0200,53.3200,52.3000,52.5900,52.1164,4586636,0.0000,1.0000
2018-11-12,53.3600,53.5300,52.7000,52.8500,52.3741,6259780,0.0000,1.0000
2018-11-09,52.8000,53.6200,52.6000,53.3900,52.9092,8107392,0.0000,1.0000
2018-11-08,53.0100,53.6700,52.6200,52.8100,52.3344,6983388,0.0000,1.0000
2018-11-07,51.8800,53.1100,51.8800,52.9900,52.5128,9499808,0.0000,1.0000
2018-11-06,51.9700,52.1200,50.5000,51.3500,50.8876,10196697,0.0000,1.0000
2018-11-05,51.3100,52.1300,51.2200,52.0300,51.5615,6803619,0.0000,1.0000
2018-11-02,52.4600,52.4900,50.3750,50.6900,50.2335,9236503,0.0000,1.0000
2018-11-01,50.6800,52.2350,50.6400,52.1300,51.6606,8305559,0.0000,1.0000
2018-10-31,50.4000,51.1600,50.1100,50.5400,50.0849,9516532,0.0000,1.0000
2018-10-30,49.7200,50.1900,49.0800,50.0200,49.5696,11263986,0.0000,1.0000
2018-10-29,51.1800,51.2100,49.2000,49.7300,49.2822,10028871,0.0000,1.0000
2018-10-26,49.2100,51.0600,48.7900,50.4300,49.9759,13671948,0.0000,1.0000
2018-10-25,48.8300,50.3700,46.9400,49.2100,48.7669,16207142,0.0000,1.0000
2018-10-24,50.7000,51.1700,48.6700,48.8300,48.3903,13583331,0.0000,1.0000
2018-10-23,50.5200,51.0300,49.8300,50.6500,50.1939,15370012,0.0000,1.0000
2018-10-22,51.2500,51.9000,50.5100,50.8800,50.4218,24632340,0.0000,1.0000
2018-10-19,55.8500,55.8500,54.2900,54.3000,53.8110,14981775,0.0000,1.0000
2018-10-18,57.5000,57.5300,55.7000,55.9800,55.4759,13606648,0.0000,1.0000
2018-10-17,57.9300,59.2750,57.6600,58.9000,58.3696,6546150,0.0000,1.0000
2018-10-16,57.9300,58.0900,57.1200,57.8300,57.3092,6445683,0.0000,1.0000
2018-10-15,57.7000,58.1950,57.3450,57.6100,57.0912,6356568,0.0000,1.0000
2018-10-12,57.8100,57.9600,56.6600,57.5100,56.9921,10713215,0.0000,1.0000
2018-10-11,60.7700,60.7700,57.0200,57.5000,56.9822,12540100,0.0000,1.0000
2018-10-10,62.9300,63.3500,60.7500,60.7700,60.2228,10428274,0.0000,1.0000
2018-10-09,62.7100,63.6900,62.4700,63.2300,62.6606,6618852,0.0000,1.0000
2018-10-08,62.4600,63.1500,62.2100,62.9000,62.3336,7767795,0.0000,1.0000
2018-10-05,62.4800,62.8900,62.1200,62.4100,61.8480,3798351,0.0000,1.0000
2018-10-04,62.2300,62.6000,61.9000,62.3600,61.7984,4369000,0.4000,1.0000
2018-10-03,62.9900,63.2050,62.3200,62.6500,61.6901,4742759,0.0000,1.0000
2018-10-02,62.2300,62.8200,61.9200,62.8000,61.8378,5330123,0.0000,1.0000
2018-10-01,62.3700,62.6450,62.0400,62.1000,61.1486,4343983,0.0000,1.0000
2018-09-28,61.9500,62.1100,61.6850,62.0800,61.1289,3690953,0.0000,1.0000
2018-09-27,61.6600,62.0900,61.4700,61.9500,61.0009,4708247,0.0000,1.0000
2018-09-26,61.8800,62.3800,61.4200,61.6200,60.6759,5841989,0.0000,1.0000
2018-09-25,61.8200,62.5150,61.7350,61.8200,60.8728,5904413,0.0000,1.0000
2018-09-24,61.9900,62.2900,61.2750,61.5900,60.6464,3938278,0.0000,1.0000
2018-09-21,61.8700,62.6150,61.7500,62.2500,61.2963,9010581,0.0000,1.0000
2018-09-20,60.8300,61.9500,60.8200,61.7500,60.8039,4518210,0.0000,1.0000
2018-09-19,61.5400,62.2400,60.5900,60.8000,59.8685,4449379,0.0000,1.0000
2018-09-18,61.1800,61.6550,61.1300,61.4800,60.5381,3703572,0.0000,1.0000
2018-09-17,60.8500,61.5000,60.6600,61.3000,60.3608,4430910,0.0000,1.0000
2018-09-14,60.6700,60.7200,60.2900,60.6900,59.7602,3893811,0.0000,1.0000
2018-09-13,60.7000,60.9600,59.5200,60.7900,59.8586,6119318,0.0000,1.0000
2018-09-12,60.5300,60.6400,59.8800,60.3300,59.4057,7025583,0.0000,1.0000
2018-09-11,60.8500,61.0100,60.4400,60.4900,59.5632,3585842,0.0000,1.0000
2018-09-10,61.5000,61.7700,60.8000,60.8600,59.9276,3963892,0.0000,1.0000
2018-09-07,60.7200,61.4142,60.6400,61.3100,60.3707,3519916,0.0000,1.0000
2018-09-06,61.0300,61.3800,60.8700,60.9400,60.0063,4979535,0.0000,1.0000
2018-09-05,60.6000,61.3100,60.4100,61.2000,60.2623,6296635,0.0000,1.0000
