timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-01-16,47.7400,48.7500,47.6600,48.4200,48.4200,3136589,0.0000,1.0000
2019-01-15,47.4200,47.6700,47.0500,47.6300,47.6300,2632771,0.0000,1.0000
2019-01-14,47.2000,47.5800,47.1800,47.2800,47.2800,2557757,0.0000,1.0000
2019-01-11,47.3500,47.6100,46.9700,47.5900,47.5900,1703521,0.0000,1.0000
2019-01-10,46.8700,48.0400,46.7500,47.5900,47.5900,2760728,0.0000,1.0000
2019-01-09,46.8000,47.1700,46.3800,46.5800,46.5800,3580906,0.0000,1.0000
2019-01-08,46.0400,46.8650,45.9800,46.5000,46.5000,3064728,0.0000,1.0000
2019-01-07,44.9200,46.3800,44.6700,45.8000,45.8000,2670557,0.0000,1.0000
2019-01-04,44.6200,45.0700,44.2100,44.9200,44.9200,3077192,0.0000,1.0000
2019-01-03,44.5700,44.9000,43.8200,44.1600,44.1600,4258805,0.0000,1.0000
2019-01-02,44.1200,45.6001,43.9500,45.0700,45.0700,3311973,0.0000,1.0000
2018-12-31,44.2800,44.8545,43.9500,44.6000,44.6000,2482358,0.4763,1.0000
2018-12-28,44.7500,45.2700,44.1000,44.5800,44.1089,4077508,0.0000,1.0000
2018-12-27,44.0000,44.5800,42.9000,44.5800,44.1089,2743085,0.0000,1.0000
2018-12-26,43.1100,44.5900,42.1700,44.5700,44.0990,3365352,0.0000,1.0000
2018-12-24,44.3300,44.3900,42.9000,42.9300,42.4764,1903106,0.0000,1.0000
2018-12-21,45.3000,46.2850,44.1500,44.4400,43.9704,6035175,0.0000,1.0000
2018-12-20,46.0800,46.7100,44.6000,45.3000,44.8213,4603631,0.0000,1.0000
2018-12-19,47.0500,47.5600,45.8400,46.1300,45.6426,4142658,0.0000,1.0000
2018-12-18,48.5500,48.6300,46.5800,47.0500,46.5528,3368958,0.0000,1.0000
2018-12-17,49.2300,49.3700,47.6600,47.9300,47.4235,3642998,0.0000,1.0000
2018-12-14,51.7400,52.1300,49.9200,50.0600,49.5310,3554700,0.0000,1.0000
2018-12-13,53.7800,53.7800,51.9250,52.3900,51.8364,2950338,0.0000,1.0000
2018-12-12,53.8800,54.9900,53.7000,53.7300,53.1623,2230983,0.0000,1.0000
2018-12-11,53.5700,54.4200,52.8500,53.5400,52.9743,2382769,0.0000,1.0000
2018-12-10,53.9100,53.9250,51.5200,53.0500,52.4894,3681599,0.0000,1.0000
2018-12-07,54.4600,55.4400,53.7800,53.9100,53.3404,4184723,0.0000,1.0000
2018-12-06,54.4900,54.8100,52.1700,54.8100,54.2308,4844862,0.0000,1.0000
2018-12-04,56.0000,56.3900,54.4077,55.0700,54.4881,5149813,0.0000,1.0000
2018-12-03,55.0000,56.5200,54.9200,56.2000,55.6062,7001239,0.0000,1.0000
2018-11-30,55.2300,55.2300,54.1100,54.8300,54.2506,4442739,0.0000,1.0000
2018-11-29,54.8100,55.5500,54.5600,55.0200,54.4386,2856060,0.0000,1.0000
2018-11-28,54.3700,54.8900,53.8600,54.8800,54.3001,5282284,0.0000,1.0000
2018-11-27,53.3800,54.4900,53.2800,54.3300,53.7559,4923329,0.0000,1.0000
2018-11-26,53.5000,54.1000,52.9300,53.3800,52.8160,5349753,0.0000,1.0000
2018-11-23,53.0000,53.1500,52.2500,52.8800,52.3212,975050,0.0000,1.0000
2018-11-21,52.7900,53.4600,52.4100,53.1100,52.5488,4799210,0.0000,1.0000
2018-11-20,54.4100,54.5800,52.4100,52.9100,52.3509,4419912,0.0000,1.0000
2018-11-19,55.4100,56.1595,54.3300,54.5700,53.9934,5103189,0.0000,1.0000
2018-11-16,56.8500,57.1500,55.3000,55.4600,54.8740,6445123,0.0000,1.0000
2018-11-15,56.9000,57.6400,55.6200,57.6300,57.0211,3770045,0.0000,1.0000
2018-11-14,57.0200,58.3100,56.3000,57.3100,56.7044,4346093,0.0000,1.0000
2018-11-13,56.0500,57.3600,55.9403,56.7300,56.1306,2666763,0.0000,1.0000
2018-11-12,55.3300,56.2900,54.9750,55.9300,55.3390,2783005,0.0000,1.0000
2018-11-09,56.4600,56.6000,54.4600,55.3100,54.7256,4201230,0.0000,1.0000
2018-11-08,52.9500,56.2000,51.2100,56.1300,55.5369,7442303,0.0000,1.0000
2018-11-07,52.8000,53.7000,52.5900,53.6500,53.0831,2911344,0.0000,1.0000
2018-11-06,51.3200,52.5900,50.9100,52.5300,51.9749,2953029,0.0000,1.0000
2018-11-05,51.5800,52.2700,51.5700,52.0900,51.5396,1958022,0.0000,1.0000
2018-11-02,52.9100,53.1200,51.1300,51.4400,50.8965,2383818,0.0000,1.0000
2018-11-01,50.6000,52.7000,50.5400,52.6100,52.0541,3318604,0.0000,1.0000
2018-10-31,51.7000,51.7929,50.1300,50.6000,50.0653,4698939,0.0000,1.0000
2018-10-30,50.3800,51.6050,50.0000,51.5700,51.0251,4245472,0.0000,1.0000
2018-10-29,50.6100,51.4400,49.6000,50.2400,49.7091,2742348,0.0000,1.0000
2018-10-26,50.0300,50.3400,48.9700,49.9200,49.3925,4413108,0.0000,1.0000
2018-10-25,49.8900,51.1700,48.9100,50.6400,50.1049,4279585,0.0000,1.0000
2018-10-24,51.6600,52.2900,49.5100,49.6000,49.0759,6826602,0.0000,1.0000
2018-10-23,51.5100,52.1500,50.9300,51.8300,51.2823,3209221,0.0000,1.0000
2018-10-22,53.1900,53.5200,51.7900,52.0100,51.4604,3684322,0.0000,1.0000
2018-10-19,53.4200,54.5800,52.9300,53.1900,52.6280,3004379,0.0000,1.0000
