timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-01-16,105.2900,105.7500,104.1600,104.4900,104.4900,2804499,0.0000,1.0000
2019-01-15,104.2600,105.4800,104.0400,105.0400,105.0400,2071091,0.0000,1.0000
2019-01-14,104.3600,104.9750,103.9800,104.0900,104.0900,1563359,0.0000,1.0000
2019-01-11,104.5800,105.2900,104.2000,105.2600,105.2600,1547658,0.0000,1.0000
2019-01-10,104.0400,105.4300,103.2100,105.3600,105.3600,1675366,0.0000,1.0000
2019-01-09,104.0800,105.3150,103.7300,104.3600,104.3600,3015569,0.0000,1.0000
2019-01-08,101.7300,103.4800,101.4600,103.4300,103.4300,3649173,0.0000,1.0000
2019-01-07,100.7300,101.6500,100.3000,100.8600,100.8600,2356240,0.0000,1.0000
2019-01-04,98.6000,101.3700,98.6000,100.4500,100.4500,2556696,0.0000,1.0000
2019-01-03,99.9700,101.4864,96.4400,97.6200,97.6200,3219146,0.0000,1.0000
2019-01-02,101.6600,102.1700,99.9700,100.5000,100.5000,2397055,0.0000,1.0000
2018-12-31,102.1500,103.6400,102.1500,103.1200,103.1200,1980341,0.0000,1.0000
2018-12-28,102.3600,103.0500,101.3700,101.8300,101.8300,2506934,0.0000,1.0000
2018-12-27,98.5400,101.5000,97.9000,101.5000,101.5000,2639267,0.1600,1.0000
2018-12-26,95.1900,100.0000,95.0000,99.9600,99.8027,2741837,0.0000,1.0000
2018-12-24,98.0000,98.2650,94.5900,94.8500,94.7007,3099166,0.0000,1.0000
2018-12-21,98.4700,100.7300,97.9200,98.4800,98.3250,6292613,0.0000,1.0000
2018-12-20,99.8300,100.3700,97.6000,98.3600,98.2052,5365146,0.0000,1.0000
2018-12-19,100.8800,103.1100,99.4100,100.6500,100.4916,4260079,0.0000,1.0000
2018-12-18,100.8800,101.2835,99.4800,100.7200,100.5615,3535274,0.0000,1.0000
2018-12-17,99.9700,101.4500,99.2400,100.3700,100.2120,4481791,0.0000,1.0000
2018-12-14,101.3100,101.8400,99.1400,100.4000,100.2420,2569745,0.0000,1.0000
