timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-01-16,162.7900,164.6800,162.6900,163.6000,163.6000,1089258,0.0000,1.0000
2019-01-15,164.8500,165.3900,162.3900,163.1400,163.1400,1906833,0.0000,1.0000
2019-01-14,162.3000,164.9400,162.2400,164.5300,164.5300,1367952,0.0000,1.0000
2019-01-11,161.2800,163.8500,160.9000,163.8100,163.8100,1239323,0.0000,1.0000
2019-01-10,160.2700,162.5500,159.3700,162.4300,162.4300,1131560,0.0000,1.0000
2019-01-09,159.2600,161.5100,159.1600,160.9000,160.9000,1483825,0.0000,1.0000
2019-01-08,159.2900,159.9200,156.7500,158.6600,158.6600,1350339,0.0000,1.0000
2019-01-07,157.6300,159.6700,155.9300,158.6500,158.6500,1047431,0.0000,1.0000
2019-01-04,155.3500,157.8300,154.1200,157.7700,157.7700,1839965,0.0000,1.0000
2019-01-03,156.0000,156.7300,152.4400,153.3700,153.3700,1436004,0.0000,1.0000
2019-01-02,155.3200,157.4643,153.8200,157.2600,157.2600,1276344,0.0000,1.0000
2018-12-31,156.4100,157.2100,155.3895,157.2100,157.2100,1223431,0.0000,1.0000
2018-12-28,155.9900,157.3600,154.2700,155.3200,155.3200,1455825,0.0000,1.0000
2018-12-27,150.3500,155.1700,148.6300,155.1200,155.1200,1720279,0.0000,1.0000
2018-12-26,147.9500,152.2600,143.8700,152.1700,152.1700,2180697,0.0000,1.0000
2018-12-24,148.7600,149.6800,145.3400,148.2100,148.2100,1572169,0.0000,1.0000
2018-12-21,151.6500,154.9900,149.7700,150.4900,150.4900,4348257,0.0000,1.0000
2018-12-20,158.0200,159.1200,153.0100,154.6100,154.6100,2494783,0.0000,1.0000
2018-12-19,161.8000,163.7800,157.1648,158.9900,158.9900,2088729,0.0000,1.0000
2018-12-18,164.7100,166.5000,161.8249,162.8100,162.8100,1688897,0.0000,1.0000
2018-12-17,168.5900,168.8350,162.4700,163.4500,163.4500,2420585,0.0000,1.0000
2018-12-14,169.2900,171.4100,168.5400,168.9700,168.9700,1898214,0.0000,1.0000
2018-12-13,172.1600,173.1850,170.5000,171.0100,171.0100,2760726,0.0000,1.0000
2018-12-12,174.5400,175.3600,171.0000,171.2200,171.2200,3235232,0.0000,1.0000
2018-12-11,174.5600,177.6800,170.8800,172.2700,172.2700,2391689,0.0000,1.0000
2018-12-10,169.1900,173.6000,168.5450,172.2000,172.2000,2253745,0.0000,1.0000
2018-12-07,170.5400,173.5300,166.7100,167.3800,167.3800,1779150,0.0000,1.0000
2018-12-06,170.8900,171.9200,165.3000,171.0200,171.0200,2481726,0.0000,1.0000
2018-12-04,180.4100,180.8519,172.9700,173.1800,173.1800,1760593,0.0000,1.0000
2018-12-03,187.0600,187.4700,180.7900,181.5700,181.5700,1399249,0.0000,1.0000
2018-11-30,182.3500,185.0400,182.3500,184.8900,184.8900,1647051,0.0000,1.0000
2018-11-29,181.6600,183.2400,180.8400,182.1700,182.1700,1823219,0.0000,1.0000
2018-11-28,179.3400,183.7052,179.0400,182.0300,182.0300,1589828,0.0000,1.0000
2018-11-27,178.5500,179.4700,176.5000,178.6400,178.6400,1524829,0.0000,1.0000
2018-11-26,179.5200,180.5900,177.4500,179.6900,179.6900,1370127,0.0000,1.0000
2018-11-23,175.9800,179.4600,175.2900,178.2600,178.2600,447167,0.0000,1.0000
2018-11-21,177.0000,178.6300,176.2600,176.7500,176.7500,1112983,0.0000,1.0000
2018-11-20,176.5400,177.4900,175.1600,175.9200,175.9200,1546815,0.0000,1.0000
2018-11-19,183.1600,183.1600,178.4900,179.3800,179.3800,986715,0.0000,1.0000
2018-11-16,181.3400,184.9050,180.8800,183.0600,183.0600,1584879,0.0000,1.0000
2018-11-15,178.0000,182.5399,177.5000,182.3400,182.3400,1206658,0.0000,1.0000
2018-11-14,181.4400,182.4700,178.9400,179.8400,179.8400,1790392,0.0000,1.0000
2018-11-13,181.7600,183.9300,179.4500,180.0800,180.0800,1298412,0.0000,1.0000
2018-11-12,184.9600,185.5200,180.5900,181.0100,181.0100,1146992,0.0000,1.0000
2018-11-09,183.3600,185.1500,183.0000,184.5000,184.5000,1245220,0.0000,1.0000
2018-11-08,185.0200,185.8100,184.0300,184.5600,184.5600,1316992,0.0000,1.0000
2018-11-07,184.8200,185.3300,182.1400,185.0300,185.0300,1879173,0.0000,1.0000
2018-11-06,177.6800,182.8400,177.6800,182.2000,182.2000,1637152,0.0000,1.0000
2018-11-05,177.5400,179.8900,176.8800,177.9700,177.9700,2455793,0.0000,1.0000
2018-11-02,178.9700,181.8200,176.4400,176.9800,176.9800,3515873,0.0000,1.0000
2018-11-01,173.2700,179.3300,173.1900,178.4000,178.4000,1848498,0.0000,1.0000
2018-10-31,173.5100,175.6200,172.2400,172.5800,172.5800,2215340,0.0000,1.0000
2018-10-30,167.3800,172.6200,166.4400,171.8900,171.8900,2405798,0.0000,1.0000
2018-10-29,170.7200,172.5200,164.7600,167.0400,167.0400,2586698,0.0000,1.0000
2018-10-26,168.7100,171.8800,167.2700,169.8600,169.8600,2877247,0.0000,1.0000
2018-10-25,172.9800,173.7700,169.3200,170.6000,170.6000,3254619,0.0000,1.0000
2018-10-24,184.8400,186.0000,172.8600,173.2400,173.2400,4887617,0.0000,1.0000
2018-10-23,187.6200,190.0800,186.7500,187.7500,187.7500,1914380,0.0000,1.0000
2018-10-22,190.9100,191.7600,189.0000,190.1400,190.1400,1138173,0.0000,1.0000
