timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-01-16,275.4000,275.6900,270.6300,272.3900,272.3900,1324956,0.0000,1.0000
2019-01-15,278.2300,278.3350,273.5100,276.0000,276.0000,1193552,0.0000,1.0000
2019-01-14,276.6700,279.5200,274.4300,277.5100,277.5100,1388645,0.0000,1.0000
2019-01-11,275.7900,277.7600,272.4300,277.7300,277.7300,1157952,0.0000,1.0000
2019-01-10,269.6200,277.6800,269.5000,277.5000,277.5000,1842543,0.0000,1.0000
2019-01-09,270.1300,272.2167,269.1300,270.5400,270.5400,1235961,0.0000,1.0000
2019-01-08,271.1300,271.7500,267.8100,269.8700,269.8700,1791533,0.0000,1.0000
2019-01-07,266.0000,270.0000,263.8625,268.0800,268.0800,1465162,0.0000,1.0000
2019-01-04,261.9200,265.4900,260.3400,265.0400,265.0400,1444084,0.0000,1.0000
2019-01-03,262.3200,264.0000,257.3800,258.0800,258.0800,1165621,0.0000,1.0000
2019-01-02,258.3600,265.3000,256.7900,264.7300,264.7300,1064888,0.0000,1.0000
2018-12-31,262.1500,265.1084,259.8500,261.8400,261.8400,1185290,0.0000,1.0000
2018-12-28,263.0100,264.8298,260.1400,261.2600,261.2600,1983758,0.0000,1.0000
2018-12-27,249.2500,259.7900,248.2000,259.7900,259.7900,2201422,0.0000,1.0000
2018-12-26,246.3100,251.8900,241.1796,251.6200,251.6200,1797958,0.0000,1.0000
2018-12-24,253.0300,254.6300,245.0100,245.2200,245.2200,1515428,0.0000,1.0000
2018-12-21,260.7800,262.6400,255.3000,256.5500,256.5500,3738755,0.0000,1.0000
2018-12-20,271.9900,273.8200,261.4100,265.2900,265.2900,2327665,0.0000,1.0000
2018-12-19,279.7500,283.8100,271.5200,273.9600,273.9600,1716882,0.0000,1.0000
2018-12-18,281.5500,283.8400,278.0450,279.4700,279.4700,1708121,0.0000,1.0000
2018-12-17,286.2000,286.7900,277.8400,279.2300,279.2300,1649146,0.0000,1.0000
2018-12-14,290.0000,291.2400,286.6200,287.7000,287.7000,1881803,0.0000,1.0000
2018-12-13,293.2700,295.2700,291.0000,292.2300,292.2300,1125250,0.0000,1.0000
2018-12-12,295.9900,296.8000,292.0100,292.5000,292.5000,1121520,0.0000,1.0000
