timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-01-16,160.3200,160.3200,158.1600,159.3800,159.3800,1836855,0.0000,1.0000
2019-01-15,161.2100,161.2100,158.6300,160.1400,160.1400,1229241,0.0000,1.0000
2019-01-14,158.0600,161.4000,157.5700,160.5100,160.5100,1999595,0.0000,1.0000
2019-01-11,158.6100,159.3100,156.5900,159.1700,159.1700,1513876,0.0000,1.0000
2019-01-10,157.5000,159.7400,156.3600,159.5800,159.5800,1876061,0.0000,1.0000
2019-01-09,158.3600,158.9600,157.2200,157.9300,157.9300,1529853,0.0000,1.0000
2019-01-08,156.9300,157.8400,155.7900,157.2100,157.2100,1693261,0.0000,1.0000
2019-01-07,154.0200,155.9000,152.6114,155.3600,155.3600,1583833,0.0000,1.0000
2019-01-04,151.6700,153.8400,150.7850,153.7400,153.7400,1979280,0.0000,1.0000
2019-01-03,153.1100,153.7200,149.2600,149.7900,149.7900,2837982,0.0000,1.0000
2019-01-02,150.9900,154.1800,149.6300,154.1400,154.1400,1395305,0.0000,1.0000
2018-12-31,152.9900,154.3700,151.7400,153.3500,153.3500,1845884,0.8675,1.0000
2018-12-28,154.9800,154.9800,152.0700,152.9200,152.0598,2120056,0.0000,1.0000
2018-12-27,147.9300,153.5700,147.3300,153.5700,152.7061,2474171,0.0000,1.0000
2018-12-26,146.9100,149.6100,144.2700,149.4900,148.6491,2811145,0.0000,1.0000
2018-12-24,150.1500,150.5500,146.6000,146.6700,145.8450,1585247,0.0000,1.0000
2018-12-21,151.0100,157.4300,151.0100,151.5200,150.6677,3750281,0.0000,1.0000
2018-12-20,160.9000,162.4600,154.8700,157.9500,157.0615,2904299,0.0000,1.0000
2018-12-19,165.0000,167.8150,160.6600,162.3300,161.4169,2093139,0.0000,1.0000
2018-12-18,167.5700,168.7500,164.1600,164.8400,163.9127,1646451,0.0000,1.0000
2018-12-17,169.3200,170.5000,164.9000,165.9400,165.0066,1961687,0.0000,1.0000
2018-12-14,170.2400,171.6700,168.8400,169.8500,168.8946,1773398,0.0000,1.0000
2018-12-13,172.4300,173.7900,171.0000,172.4300,171.4601,1445359,0.0000,1.0000
2018-12-12,173.0700,174.8300,171.5400,171.8100,170.8435,2982565,0.0000,1.0000
2018-12-11,174.6100,174.8500,169.6900,171.0300,170.0679,2268079,0.0000,1.0000
2018-12-10,168.5000,172.3400,166.4101,171.2100,170.2469,2929727,0.0000,1.0000
2018-12-07,167.7900,169.9500,165.0974,165.1100,164.1812,2466274,0.0000,1.0000
2018-12-06,163.9300,168.4100,162.3100,168.1800,167.2340,3548952,0.0000,1.0000
2018-12-04,172.0900,173.8150,165.3800,165.6800,164.7480,3415457,0.0000,1.0000
2018-12-03,178.0100,178.0100,172.2300,172.8700,171.8976,2406275,0.0000,1.0000
2018-11-30,173.7400,175.5300,172.6100,175.3400,174.3537,2603873,0.0000,1.0000
2018-11-29,173.4400,174.5800,172.7100,173.5800,172.6036,1503237,0.0000,1.0000
2018-11-28,172.0600,174.1634,171.3200,173.6100,172.6334,1807550,0.0000,1.0000
2018-11-27,173.6600,174.2800,169.0631,171.6700,170.7043,1921632,0.0000,1.0000
2018-11-26,174.0700,175.7000,172.7000,174.6300,173.6477,1497028,0.0000,1.0000
2018-11-23,171.5000,174.6300,171.5000,173.5800,172.6036,774117,0.0000,1.0000
2018-11-21,174.3800,174.7900,172.1300,172.2800,171.3109,1531764,0.0000,1.0000
2018-11-20,173.2400,175.3200,171.5700,174.0200,173.0411,2073639,0.0000,1.0000
2018-11-19,182.2300,182.6100,175.5800,176.4400,175.4475,2134178,0.0000,1.0000
2018-11-16,182.4800,182.8800,180.0800,182.0800,181.0558,1425776,0.0000,1.0000
2018-11-15,179.6600,183.8200,178.6100,183.2000,182.1695,1481801,0.0000,1.0000
2018-11-14,182.0300,183.2300,180.2811,180.5800,179.5642,1676374,0.0000,1.0000
2018-11-13,182.3000,183.7200,179.5900,180.6200,179.6040,1555912,0.0000,1.0000
2018-11-12,188.0100,188.2900,181.5900,182.0300,181.0060,1609005,0.0000,1.0000
2018-11-09,185.6200,188.6600,185.3400,188.0200,186.9624,1382116,0.0000,1.0000
2018-11-08,187.0700,188.2000,185.6300,186.6600,185.6100,1656690,0.0000,1.0000
2018-11-07,185.5100,187.5000,183.9100,187.3200,186.2663,1971056,0.0000,1.0000
2018-11-06,183.7400,185.7400,183.6000,184.8000,183.7605,2120514,0.0000,1.0000
2018-11-05,182.9500,184.3100,182.0701,183.0600,182.0303,2399336,0.0000,1.0000
2018-11-02,181.8500,184.8100,180.9100,181.5500,180.5287,3302113,0.0000,1.0000
2018-11-01,176.0700,181.4300,176.0500,180.8300,179.8128,2756351,0.0000,1.0000
2018-10-31,174.6200,178.4600,174.6200,175.0400,174.0554,3057410,0.0000,1.0000
2018-10-30,167.5100,174.3600,165.0010,173.1400,172.1661,3873406,0.0000,1.0000
2018-10-29,178.8200,178.9400,165.7900,168.3500,167.4030,3945399,0.0000,1.0000
2018-10-26,173.3300,177.5900,170.7300,176.8900,175.8950,4137628,0.0000,1.0000
2018-10-25,185.1600,186.4800,174.1900,176.5200,175.5270,4354074,0.0000,1.0000
2018-10-24,192.0200,192.3700,181.7900,182.1100,181.0856,2958000,0.0000,1.0000
2018-10-23,189.0300,193.0350,188.3600,191.3800,190.3035,2426563,0.0000,1.0000
2018-10-22,192.1200,192.7000,189.7900,191.1000,190.0250,1386217,0.0000,1.0000
2018-10-19,191.7200,192.9100,190.6800,191.0100,189.9355,1125127,0.0000,1.0000
2018-10-18,192.0000,192.7500,189.6975,191.6600,190.5819,1663918,0.0000,1.0000
2018-10-17,195.8000,195.8400,192.8900,193.1200,192.0337,1259749,0.0000,1.0000
2018-10-16,193.1900,196.2200,193.0100,195.9200,194.8179,1753491,0.0000,1.0000
2018-10-15,192.4200,193.7900,191.4200,192.2600,191.1785,1321903,0.0000,1.0000
2018-10-12,193.2800,194.4900,189.3700,191.6900,190.6117,1502929,0.0000,1.0000
2018-10-11,196.4200,198.3600,190.8800,190.9900,189.9156,2305468,0.0000,1.0000
2018-10-10,204.2000,204.2000,197.4600,197.6000,196.4885,1836749,0.0000,1.0000
2018-10-09,205.4400,206.8100,204.5000,204.5900,203.4391,1371215,0.8675,1.0000
2018-10-08,206.5600,207.4300,205.6400,206.8200,204.7883,1216772,0.0000,1.0000
2018-10-05,208.2900,209.0700,205.4000,206.7500,204.7189,1097238,0.0000,1.0000
2018-10-04,206.4800,208.3600,206.2650,208.2100,206.1646,988363,0.0000,1.0000
2018-10-03,209.1200,209.1800,206.7100,206.9700,204.9368,1079031,0.0000,1.0000
2018-10-02,207.5100,208.4700,206.2400,208.0400,205.9963,1146198,0.0000,1.0000
2018-10-01,207.3300,207.6700,205.7000,207.5100,205.4715,1258553,0.0000,1.0000
2018-09-28,205.9900,206.7800,205.2650,206.6600,204.6298,1597915,0.0000,1.0000
2018-09-27,205.4700,206.8700,204.1500,205.9400,203.9169,1431490,0.0000,1.0000
2018-09-26,205.4000,206.7500,204.5100,205.2400,203.2238,1042750,0.0000,1.0000
2018-09-25,202.9300,205.5100,201.7200,205.1800,203.1644,1278080,0.0000,1.0000
2018-09-24,202.6600,203.2200,201.1900,202.3600,200.3721,850007,0.0000,1.0000
2018-09-21,201.4200,203.8300,201.3200,203.4600,201.4613,2514254,0.0000,1.0000
2018-09-20,205.4600,205.8200,198.1800,200.8100,198.8373,2221680,0.0000,1.0000
2018-09-19,207.9000,210.8900,203.4900,205.1700,203.1545,1631851,0.0000,1.0000
2018-09-18,205.4700,208.2850,205.2000,207.9000,205.8577,1406254,0.0000,1.0000
2018-09-17,203.3000,205.9300,202.7600,205.0100,202.9960,1416078,0.0000,1.0000
2018-09-14,200.9600,203.9900,200.3500,203.1600,201.1642,1135527,0.0000,1.0000
2018-09-13,199.0400,201.1900,199.0400,200.8300,198.8571,940183,0.0000,1.0000
2018-09-12,197.6700,198.6000,197.0200,198.3500,196.4015,1152833,0.0000,1.0000
2018-09-11,198.4900,199.3800,197.2000,197.5300,195.5895,1542722,0.0000,1.0000
2018-09-10,200.9900,201.0100,199.1300,199.1800,197.2233,1012786,0.0000,1.0000
2018-09-07,201.6200,202.9600,199.5500,200.3800,198.4115,1274797,0.0000,1.0000
2018-09-06,198.5000,202.5800,198.3400,202.2100,200.2235,1430007,0.0000,1.0000
2018-09-05,197.8800,198.9300,196.8800,198.0300,196.0846,1184734,0.0000,1.0000
2018-09-04,199.0000,199.2900,197.1100,198.3400,196.3916,1446391,0.0000,1.0000
2018-08-31,198.1200,199.7100,197.4300,199.4400,197.4808,1446223,0.0000,1.0000
2018-08-30,199.7600,201.6400,198.5000,199.1700,197.2134,1159736,0.0000,1.0000
2018-08-29,200.4300,200.4300,199.0700,200.0600,198.0947,1022440,0.0000,1.0000
2018-08-28,202.0000,202.0000,199.2100,200.0700,198.1046,1388801,0.0000,1.0000
2018-08-27,200.9900,202.1600,200.4000,201.4800,199.5007,1461929,0.0000,1.0000
2018-08-24,198.1900,200.2200,198.0688,200.0800,198.1145,964549,0.0000,1.0000
2018-08-23,199.1500,199.6197,197.4300,198.1800,196.2331,1076218,0.0000,1.0000
2018-08-22,200.3800,200.4400,199.2000,199.4100,197.4511,1348354,0.0000,1.0000
2018-08-21,200.1200,201.2000,199.5200,200.6000,198.6294,1462699,0.0000,1.0000
2018-08-20,199.7900,201.1000,199.1600,200.4500,198.4808,1299835,0.0000,1.0000
2018-08-17,198.5100,199.8000,197.3410,199.0900,197.1342,1538488,0.0000,1.0000
2018-08-16,196.6800,199.1450,196.3600,198.5100,196.5599,1113477,0.0000,1.0000
2018-08-15,196.9400,197.1040,193.8000,194.9300,193.0151,1384838,0.0000,1.0000
2018-08-14,196.5800,197.8400,196.0000,197.5600,195.6192,977473,0.0000,1.0000
2018-08-13,196.0600,197.3500,195.1000,196.1000,194.1736,1314993,0.0000,1.0000
2018-08-10,195.8100,197.1700,194.5200,196.3500,194.4211,1241424,0.0000,1.0000
2018-08-09,197.4900,197.7200,195.6500,196.1000,194.1736,1036445,0.0000,1.0000
2018-08-08,197.5000,197.9100,195.8600,197.5200,195.5796,945726,0.0000,1.0000
2018-08-07,196.0100,198.5900,195.4350,197.3900,195.4509,1298752,0.0000,1.0000
2018-08-06,196.1600,196.7000,193.3600,196.1600,194.2330,1452137,0.0000,1.0000
2018-08-03,197.5000,197.9200,193.6900,195.8000,193.8765,1512577,0.0000,1.0000
2018-08-02,196.2800,197.5800,195.2224,197.1700,195.2331,1456947,0.0000,1.0000
2018-08-01,197.6200,198.7700,196.0600,197.3500,195.4113,1683888,0.0000,1.0000
2018-07-31,194.1200,198.3700,193.8000,198.0300,196.0846,2702342,0.0000,1.0000
2018-07-30,196.2300,197.4900,193.0700,193.4300,191.5298,1438826,0.0000,1.0000
2018-07-27,193.5500,196.3900,193.3000,196.1800,194.2528,2728425,0.0000,1.0000
2018-07-26,192.0000,193.2900,186.0300,192.4300,190.5396,4659140,0.0000,1.0000
2018-07-25,196.8000,197.7500,192.8759,197.5600,195.6192,2950991,0.0000,1.0000
2018-07-24,198.0900,200.9895,193.0000,196.9900,195.0548,3308517,0.0000,1.0000
2018-07-23,201.6400,202.3500,196.5000,196.7100,194.7776,2202752,0.0000,1.0000
2018-07-20,201.1100,202.5700,200.0900,201.4400,199.4611,1026683,0.0000,1.0000
2018-07-19,201.0900,201.8400,200.2792,201.3700,199.3918,893180,0.0000,1.0000
2018-07-18,200.8700,202.6200,200.3250,201.5200,199.5403,1196423,0.0000,1.0000
2018-07-17,199.5600,201.0500,198.7200,200.2400,198.2729,954415,0.0000,1.0000
2018-07-16,200.0000,202.0000,199.1900,199.6100,197.6491,1353337,0.0000,1.0000
2018-07-13,197.7200,199.9000,197.2500,199.7500,197.7877,1534856,0.0000,1.0000
2018-07-12,195.4900,197.8500,194.9200,197.5200,195.5796,1714950,0.0000,1.0000
2018-07-11,194.9600,195.4200,193.4000,194.0300,192.1239,1318051,0.0000,1.0000
2018-07-10,197.3100,198.2100,194.8200,195.9100,193.9854,1810581,0.8675,1.0000
2018-07-09,194.3300,197.7700,194.0500,197.3200,194.5202,1440879,0.0000,1.0000
2018-07-06,193.1600,194.7200,191.0600,193.5700,190.8234,1413550,0.0000,1.0000
2018-07-05,195.8100,196.2500,192.9800,193.6300,190.8826,1264338,0.0000,1.0000
2018-07-03,195.2400,196.8700,194.4600,195.0300,192.2627,871753,0.0000,1.0000
2018-07-02,192.8800,194.5900,191.2700,194.3900,191.6318,950101,0.0000,1.0000
2018-06-29,194.0500,196.1800,193.0100,193.1800,190.4390,1792179,0.0000,1.0000
2018-06-28,192.5400,194.2100,190.2700,192.9200,190.1827,1776444,0.0000,1.0000
2018-06-27,194.5300,196.5100,192.5100,192.5400,189.8081,1545204,0.0000,1.0000
2018-06-26,194.0100,195.1797,193.0700,193.9000,191.1488,1691337,0.0000,1.0000
2018-06-25,192.9100,195.9300,192.0200,193.5200,190.7742,1799842,0.0000,1.0000
2018-06-22,195.6900,195.6900,192.9000,193.3800,190.6361,3642820,0.0000,1.0000
2018-06-21,195.4800,196.1900,191.7800,194.7000,191.9374,2424052,0.0000,1.0000
2018-06-20,196.7000,198.2200,194.0500,196.4200,193.6330,2257720,0.0000,1.0000
2018-06-19,200.8700,201.7300,196.0750,196.6000,193.8105,2690498,0.0000,1.0000
2018-06-18,200.2200,202.8500,199.7200,202.6100,199.7352,1813563,0.0000,1.0000
2018-06-15,201.5100,202.2499,199.5000,201.5300,198.6705,3339603,0.0000,1.0000
2018-06-14,206.2300,206.9100,201.9000,202.6800,199.8042,2110808,0.0000,1.0000
2018-06-13,206.4800,207.8000,204.9000,205.4700,202.5546,2436831,0.0000,1.0000
2018-06-12,212.1300,212.2600,204.9700,206.6100,203.6784,3507519,0.0000,1.0000
2018-06-11,214.1600,214.6600,212.5450,212.5600,209.5440,1689737,0.0000,1.0000
2018-06-08,213.1900,214.7600,212.0600,214.5600,211.5156,1242139,0.0000,1.0000
2018-06-07,213.1200,213.9000,211.7700,212.6600,209.6426,1607403,0.0000,1.0000
2018-06-06,212.8900,213.4700,211.9300,212.9200,209.8989,1580237,0.0000,1.0000
2018-06-05,212.3000,213.3700,211.7700,213.2700,210.2439,1176372,0.0000,1.0000
2018-06-04,211.5800,213.1100,211.0700,212.6300,209.6130,837624,0.0000,1.0000
2018-06-01,210.7000,212.0950,210.4600,211.3600,208.3610,1012459,0.0000,1.0000
2018-05-31,212.1900,212.8500,209.3900,209.5000,206.5274,1571987,0.0000,1.0000
2018-05-30,210.3700,212.8000,209.5000,212.3200,209.3074,1045987,0.0000,1.0000
2018-05-29,210.0000,210.8450,207.9713,209.0300,206.0641,1421963,0.0000,1.0000
2018-05-25,213.4200,214.4900,210.9500,211.2700,208.2723,1590251,0.0000,1.0000
2018-05-24,210.9500,214.5400,210.7500,213.9400,210.9044,1528174,0.0000,1.0000
2018-05-23,207.0400,211.2700,206.2900,211.1400,208.1441,1722006,0.0000,1.0000
2018-05-22,211.1900,211.7500,207.4000,207.7300,204.7825,2057187,0.0000,1.0000
2018-05-21,212.0000,214.6400,211.6706,213.9500,210.9143,1195222,0.0000,1.0000
2018-05-18,210.9800,212.5000,210.0100,211.0600,208.0653,1720508,0.0000,1.0000
2018-05-17,210.2100,211.2600,208.4900,210.6200,207.6315,1109978,0.0000,1.0000
2018-05-16,209.3300,210.7500,209.0400,210.1500,207.1682,1863663,0.0000,1.0000
2018-05-15,208.4300,210.6900,207.5796,209.4000,206.4288,1280507,0.0000,1.0000
2018-05-14,214.0000,214.1200,208.2000,209.1900,206.2218,1871770,0.0000,1.0000
2018-05-11,212.0300,214.4400,212.0300,213.8300,210.7960,1951129,0.0000,1.0000
2018-05-10,213.5200,213.8400,211.5000,212.6100,209.5933,2309215,0.0000,1.0000
2018-05-09,212.0600,213.2500,210.3700,212.2300,209.2187,2345557,0.0000,1.0000
2018-05-08,206.0000,211.3100,205.5900,210.4000,207.4146,2796669,0.0000,1.0000
2018-05-07,203.5400,205.9500,203.2700,205.1700,202.2589,1837737,0.0000,1.0000
