timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-01-16,293.4300,295.3000,288.5600,288.8100,288.8100,579637,0.0000,1.0000
2019-01-15,286.9900,295.3099,282.6900,293.2200,293.2200,692410,0.0000,1.0000
2019-01-14,282.6000,285.0359,281.1400,281.2100,281.2100,408659,0.0000,1.0000
2019-01-11,284.1200,285.2400,281.4000,284.5000,284.5000,287189,0.0000,1.0000
2019-01-10,279.1100,284.5700,276.4100,284.4900,284.4900,413763,0.0000,1.0000
2019-01-09,276.0100,283.0000,273.5250,280.0100,280.0100,606706,0.0000,1.0000
2019-01-08,277.4800,280.7700,270.4100,278.9800,278.9800,865249,0.0000,1.0000
2019-01-07,279.0700,282.9100,273.7000,277.1300,277.1300,658056,0.0000,1.0000
2019-01-04,272.8100,281.4700,272.0200,279.1300,279.1300,529475,0.0000,1.0000
2019-01-03,275.4100,276.9000,266.3300,268.0400,268.0400,891310,0.0000,1.0000
2019-01-02,278.8900,279.9100,274.5900,276.5800,276.5800,789243,0.0000,1.0000
2018-12-31,281.7000,284.8500,279.3400,282.3600,282.3600,460403,0.0000,1.0000
2018-12-28,283.0200,285.8600,280.4100,281.4700,281.4700,337184,0.0000,1.0000
2018-12-27,276.9700,281.9300,272.4000,281.9300,281.9300,404481,0.0000,1.0000
2018-12-26,268.0600,278.8400,266.3700,278.6500,278.6500,364974,0.0000,1.0000
2018-12-24,271.5900,273.3300,266.0750,266.4300,266.4300,246966,0.0000,1.0000
2018-12-21,275.1000,282.3000,271.7400,272.2100,272.2100,951735,0.0000,1.0000
2018-12-20,276.8800,280.6500,271.3200,275.1400,275.1400,734115,0.0000,1.0000
2018-12-19,282.8600,287.4100,277.4800,278.4300,278.4300,653493,0.0000,1.0000
2018-12-18,284.9500,288.6700,280.0000,282.8600,282.8600,675371,0.0000,1.0000
2018-12-17,283.9300,290.8300,281.3600,284.5100,284.5100,597294,0.0000,1.0000
2018-12-14,282.7500,288.7600,282.7400,284.4100,284.4100,468464,0.0000,1.0000
2018-12-13,288.7900,292.2400,284.0600,285.6100,285.6100,553309,0.0000,1.0000
2018-12-12,291.0400,294.1300,286.9750,287.8000,287.8000,438370,0.0000,1.0000
2018-12-11,286.8700,293.8560,284.0800,286.7300,286.7300,551138,0.0000,1.0000
2018-12-10,288.1100,289.4200,280.3500,285.3100,285.3100,633404,0.0000,1.0000
2018-12-07,300.3500,303.1600,288.5600,289.4300,289.4300,496619,0.0000,1.0000
2018-12-06,294.5900,300.2300,289.5800,299.5700,299.5700,673184,0.0000,1.0000
2018-12-04,316.1700,317.8400,300.3200,300.6000,300.6000,697842,0.0000,1.0000
2018-12-03,317.9000,321.0700,312.6900,317.1900,317.1900,519367,0.0000,1.0000
2018-11-30,311.2100,315.5650,309.1000,314.0400,314.0400,600426,0.0000,1.0000
2018-11-29,309.8700,313.8100,308.9700,311.1900,311.1900,437980,0.0000,1.0000
2018-11-28,305.1500,311.8800,300.7800,311.7100,311.7100,671150,0.0000,1.0000
2018-11-27,307.8100,308.1340,302.7900,304.4700,304.4700,444967,0.0000,1.0000
2018-11-26,300.8500,309.0400,300.6400,307.9400,307.9400,499275,0.0000,1.0000
2018-11-23,301.2100,301.7500,297.8000,297.9500,297.9500,132568,0.0000,1.0000
2018-11-21,298.0800,305.6200,295.8100,302.5100,302.5100,368063,0.0000,1.0000
2018-11-20,299.5000,303.0500,295.0131,296.9800,296.9800,570073,0.0000,1.0000
2018-11-19,309.5200,314.7000,304.5900,305.1000,305.1000,666670,0.0000,1.0000
2018-11-16,304.6600,311.4500,302.7300,310.5600,310.5600,604260,0.0000,1.0000
2018-11-15,299.5200,307.2450,296.5000,306.1100,306.1100,624634,0.0000,1.0000
2018-11-14,296.9100,302.4700,296.6464,300.3800,300.3800,650229,0.0000,1.0000
2018-11-13,292.2100,299.0300,291.2200,295.9600,295.9600,550405,0.0000,1.0000
2018-11-12,293.9900,295.3500,288.9600,291.6800,291.6800,491446,0.0000,1.0000
2018-11-09,290.7600,294.8250,289.0900,293.7500,293.7500,470989,0.0000,1.0000
2018-11-08,294.3600,296.2700,292.0700,293.0200,293.0200,382561,1.3600,1.0000
2018-11-07,290.4600,296.7900,287.9000,296.0200,294.6524,453545,0.0000,1.0000
2018-11-06,284.3500,289.8050,282.8600,287.5800,286.2514,575389,0.0000,1.0000
2018-11-05,289.2500,290.9300,284.4900,287.0600,285.7338,548539,0.0000,1.0000
2018-11-02,290.6900,292.5500,284.6100,289.2400,287.9037,536729,0.0000,1.0000
2018-11-01,284.8200,287.6650,277.8100,286.5200,285.1963,775007,0.0000,1.0000
2018-10-31,286.1000,290.2400,283.7500,283.9700,282.6581,1034460,0.0000,1.0000
2018-10-30,275.5500,283.3400,274.2100,283.1500,281.8419,947017,0.0000,1.0000
2018-10-29,278.5300,282.0900,272.3300,275.5500,274.2770,898416,0.0000,1.0000
2018-10-26,268.9200,277.3750,267.6600,274.7000,273.4309,879898,0.0000,1.0000
2018-10-25,274.9600,275.4500,270.3005,271.2300,269.9770,954282,0.0000,1.0000
2018-10-24,274.6100,278.0573,271.6200,271.8700,270.6140,1316346,0.0000,1.0000
2018-10-23,270.2500,275.3100,265.0000,273.9900,272.7242,1021424,0.0000,1.0000
2018-10-22,278.6400,278.6400,272.1000,275.2400,273.9684,822098,0.0000,1.0000
2018-10-19,275.4900,279.1300,273.1400,276.2800,275.0036,1099160,0.0000,1.0000
2018-10-18,278.8500,279.4200,272.5700,274.9300,273.6599,1398397,0.0000,1.0000
2018-10-17,281.0600,284.6200,277.3100,279.3400,278.0495,1476163,0.0000,1.0000
2018-10-16,290.0000,291.4600,268.0600,280.0100,278.7164,4225209,0.0000,1.0000
2018-10-15,311.4000,320.7700,311.4000,318.0100,316.5408,1640423,0.0000,1.0000
2018-10-12,315.6400,315.6400,307.1006,311.5400,310.1007,758331,0.0000,1.0000
2018-10-11,314.3600,321.9100,308.6400,309.0000,307.5725,1075119,0.0000,1.0000
2018-10-10,331.4300,331.4300,316.0900,316.2900,314.8288,1327935,0.0000,1.0000
2018-10-09,344.4100,344.9900,334.7300,335.3800,333.8306,843422,0.0000,1.0000
2018-10-08,348.3500,349.6900,341.2700,345.8900,344.2920,702456,0.0000,1.0000
2018-10-05,352.1000,354.9495,347.0500,351.0300,349.4083,403851,0.0000,1.0000
2018-10-04,357.5500,360.0450,347.8300,352.1300,350.5032,576314,0.0000,1.0000
2018-10-03,356.5000,360.7100,355.1200,357.9600,356.3063,361173,0.0000,1.0000
2018-10-02,353.2400,358.6200,353.2000,354.5500,352.9120,397635,0.0000,1.0000
2018-10-01,357.2500,361.1700,353.2800,356.0000,354.3553,478733,0.0000,1.0000
2018-09-28,355.3400,359.7700,354.9000,357.4100,355.7588,441886,0.0000,1.0000
2018-09-27,356.5000,360.2000,354.9200,355.2700,353.6287,436440,0.0000,1.0000
2018-09-26,356.4600,359.1400,353.8400,356.4000,354.7535,554176,0.0000,1.0000
2018-09-25,353.4000,356.4500,352.4500,354.9700,353.3301,466425,0.0000,1.0000
2018-09-24,355.1700,355.1700,349.1900,352.5700,350.9412,460991,0.0000,1.0000
2018-09-21,356.4800,359.7000,354.9400,356.0900,354.4449,1351794,0.0000,1.0000
2018-09-20,352.3900,356.5700,350.0500,355.0200,353.3799,466377,0.0000,1.0000
2018-09-19,353.1300,357.1700,350.1500,351.3000,349.6770,457799,0.0000,1.0000
2018-09-18,350.6100,354.8400,345.4400,353.6700,352.0361,550314,0.0000,1.0000
2018-09-17,355.7700,356.4311,349.2900,351.6300,350.0055,394932,0.0000,1.0000
2018-09-14,355.1600,361.5400,353.6100,355.6100,353.9671,499458,0.0000,1.0000
2018-09-13,356.0700,356.3500,352.8100,354.0400,352.4044,413376,0.0000,1.0000
2018-09-12,358.4300,358.5600,353.4000,354.0600,352.4243,452426,0.0000,1.0000
2018-09-11,352.2800,360.0800,350.3100,359.3800,357.7197,580785,0.0000,1.0000
2018-09-10,350.3500,353.3400,349.2700,352.1900,350.5629,468035,0.0000,1.0000
2018-09-07,351.9100,355.0500,346.3800,349.2900,347.6763,532217,0.0000,1.0000
2018-09-06,356.2300,361.9600,347.5600,353.1400,351.5085,769413,0.0000,1.0000
2018-09-05,355.5500,359.1900,354.1700,355.6200,353.9771,684847,0.0000,1.0000
2018-09-04,355.2000,357.1200,350.3600,355.8700,354.2259,686640,0.0000,1.0000
2018-08-31,353.4900,356.8500,352.0800,354.0700,352.4342,416620,0.0000,1.0000
2018-08-30,362.0500,362.8300,352.3300,354.4100,352.7727,557752,0.0000,1.0000
2018-08-29,360.7200,364.0800,357.9300,362.2900,360.6163,516997,0.0000,1.0000
2018-08-28,364.4600,367.5800,359.0100,360.7500,359.0834,520465,0.0000,1.0000
2018-08-27,365.5400,367.5150,363.1300,363.8900,362.2089,304223,0.0000,1.0000
2018-08-24,368.6800,369.0410,362.7137,365.1500,363.4631,353238,0.0000,1.0000
2018-08-23,368.4700,370.1400,366.4400,367.5100,365.8121,323643,0.0000,1.0000
2018-08-22,368.6400,369.9700,366.4901,367.6000,365.9017,381684,0.0000,1.0000
2018-08-21,366.5400,372.0600,365.5500,369.1500,367.4446,526651,0.0000,1.0000
2018-08-20,359.0300,367.6000,358.4100,366.5400,364.8466,661830,0.0000,1.0000
2018-08-17,360.4600,361.2000,357.1600,357.7300,356.0773,480664,0.0000,1.0000
2018-08-16,359.3100,361.5900,358.5625,359.9500,358.2871,547235,0.0000,1.0000
2018-08-15,357.7800,359.1750,354.6400,357.8900,356.2366,621344,0.0000,1.0000
2018-08-14,355.5700,365.0000,355.5100,361.4000,359.7304,847302,0.0000,1.0000
2018-08-13,351.2000,354.6100,350.1290,353.1600,351.5284,439340,0.0000,1.0000
2018-08-10,349.4900,352.5000,347.2011,351.3000,349.6770,451424,1.3600,1.0000
2018-08-09,351.9900,358.6300,349.9200,351.6600,348.6855,626192,0.0000,1.0000
2018-08-08,348.0900,353.8200,347.2200,352.5400,349.5581,394488,0.0000,1.0000
2018-08-07,344.6000,350.0000,343.4600,349.2700,346.3157,455683,0.0000,1.0000
2018-08-06,340.1000,345.0200,339.8400,344.8000,341.8835,514501,0.0000,1.0000
2018-08-03,342.9000,343.3500,338.2650,339.0000,336.1326,439141,0.0000,1.0000
2018-08-02,338.7800,343.8100,337.3100,341.0100,338.1256,517099,0.0000,1.0000
2018-08-01,346.0600,349.6500,339.2200,341.9700,339.0775,764167,0.0000,1.0000
2018-07-31,338.4700,348.1400,336.6100,346.5600,343.6286,915500,0.0000,1.0000
2018-07-30,339.2200,340.3800,335.5400,336.4700,333.6240,592815,0.0000,1.0000
2018-07-27,341.1300,342.8500,337.9500,339.3300,336.4598,571883,0.0000,1.0000
2018-07-26,343.8900,346.5400,340.0000,340.5400,337.6596,536387,0.0000,1.0000
2018-07-25,336.2800,344.3300,335.2100,343.1900,340.2871,752290,0.0000,1.0000
2018-07-24,342.8600,346.8000,334.8100,337.1500,334.2982,655706,0.0000,1.0000
2018-07-23,340.0000,347.6900,340.0000,342.6300,339.7319,968527,0.0000,1.0000
2018-07-20,341.4500,341.4500,336.1800,340.2500,337.3720,929040,0.0000,1.0000
2018-07-19,341.6300,347.2000,337.5550,341.4500,338.5619,1695704,0.0000,1.0000
2018-07-18,329.2300,341.8000,322.5532,338.9900,336.1227,3338081,0.0000,1.0000
2018-07-17,302.3000,306.8100,302.0000,304.9600,302.3805,1035354,0.0000,1.0000
