timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-01-17,161.8800,163.6600,162.2722,163.6600,163.6600,8941,0.0000,1.0000
2019-01-16,161.8800,163.1600,161.5100,162.4500,162.4500,513038,0.0000,1.0000
2019-01-15,162.6100,163.0300,160.5500,161.6300,161.6300,614791,0.0000,1.0000
2019-01-14,159.8600,163.7800,159.1526,162.1300,162.1300,799025,0.0000,1.0000
2019-01-11,159.3400,161.2800,158.9800,160.3300,160.3300,481693,0.0000,1.0000
2019-01-10,157.5100,160.1850,156.9565,160.1100,160.1100,471471,0.0000,1.0000
2019-01-09,156.1100,158.5100,155.7000,157.7600,157.7600,657172,0.0000,1.0000
2019-01-08,154.9100,155.4000,153.5800,154.6500,154.6500,787462,0.0000,1.0000
2019-01-07,151.0700,154.0300,149.7000,152.7000,152.7000,495591,0.0000,1.0000
2019-01-04,148.0100,151.8300,147.4200,150.7700,150.7700,1251385,0.0000,1.0000
2019-01-03,147.1900,148.4000,143.2200,145.4600,145.4600,1736004,0.0000,1.0000
2019-01-02,143.1400,147.7000,141.5000,147.4600,147.4600,723508,0.0000,1.0000
2018-12-31,144.7500,146.4400,142.9900,145.2900,145.2900,657414,0.0000,1.0000
2018-12-28,144.5300,146.4800,143.0624,144.2500,144.2500,456642,0.0000,1.0000
2018-12-27,140.0000,144.0200,138.7000,144.0200,144.0200,698810,0.0000,1.0000
2018-12-26,136.3600,141.8200,135.8100,141.7000,141.7000,993176,0.0000,1.0000
2018-12-24,138.0400,138.5500,135.2900,136.1300,136.1300,367552,0.0000,1.0000
2018-12-21,139.1900,142.3100,138.1650,138.6400,138.6400,912505,0.0000,1.0000
2018-12-20,141.7500,143.6600,138.1000,139.9500,139.9500,630032,0.0000,1.0000
2018-12-19,146.5700,149.0500,140.5900,142.2500,142.2500,843547,0.0000,1.0000
2018-12-18,146.6700,148.5200,145.2400,146.6300,146.6300,363458,0.0000,1.0000
2018-12-17,146.8100,147.8600,144.8400,145.6200,145.6200,462982,0.0000,1.0000
2018-12-14,148.4500,150.5300,146.7200,147.3200,147.3200,513755,0.0000,1.0000
2018-12-13,149.4000,151.1300,149.1226,149.9400,149.9400,706940,0.0000,1.0000
2018-12-12,149.4000,150.8200,148.2500,148.3900,148.3900,468388,0.0000,1.0000
2018-12-11,150.7400,151.8200,146.8700,147.3400,147.3400,538456,0.0000,1.0000
2018-12-10,150.5300,151.0000,145.9400,148.7100,148.7100,553560,0.0000,1.0000
2018-12-07,156.1700,157.5000,149.8300,151.0000,151.0000,643191,0.0000,1.0000
2018-12-06,154.1900,155.9829,151.3100,155.9700,155.9700,859283,0.0000,1.0000
2018-12-04,164.7100,164.8300,155.8600,156.4900,156.4900,983633,0.0000,1.0000
2018-12-03,169.1000,169.3000,163.6100,164.2900,164.2900,700904,0.0000,1.0000
2018-11-30,163.3500,166.4600,162.7900,166.2400,166.2400,724590,0.0000,1.0000
2018-11-29,164.2400,165.4000,163.6100,164.0000,164.0000,463201,0.0000,1.0000
2018-11-28,160.5900,164.4700,159.7200,164.4700,164.4700,525728,0.0000,1.0000
2018-11-27,160.8400,160.9400,158.9200,160.3400,160.3400,684978,0.0000,1.0000
2018-11-26,162.0100,162.9800,160.0800,161.2000,161.2000,606469,0.0000,1.0000
2018-11-23,159.8300,162.4200,159.5000,161.0000,161.0000,206721,0.0000,1.0000
2018-11-21,162.1600,162.7650,160.5100,160.5600,160.5600,496317,0.0000,1.0000
2018-11-20,162.4000,165.2800,160.7900,161.9000,161.9000,787118,0.0000,1.0000
