timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-01-16,129.5900,130.9400,129.1550,129.6300,129.6300,1295436,0.0000,1.0000
2019-01-15,131.1700,131.1700,127.0200,128.9900,128.9900,2181374,0.0000,1.0000
2019-01-14,131.2400,132.4400,130.3900,130.8900,130.8900,1150456,0.0000,1.0000
2019-01-11,131.0700,133.0900,130.6950,132.7100,132.7100,995904,0.0000,1.0000
2019-01-10,130.1500,132.3300,129.2850,132.0300,132.0300,1280123,0.0000,1.0000
2019-01-09,128.7900,131.9100,128.5400,131.0500,131.0500,1548048,0.0000,1.0000
2019-01-08,127.4600,129.3300,126.6200,128.0700,128.0700,1669005,0.0000,1.0000
2019-01-07,123.6000,127.0350,122.1000,125.7500,125.7500,2272813,0.0000,1.0000
2019-01-04,119.5200,123.3000,119.5200,123.1500,123.1500,1185109,0.0000,1.0000
2019-01-03,119.9500,120.0950,116.1600,117.2100,117.2100,949127,0.0000,1.0000
2019-01-02,117.6000,121.0000,117.0000,120.7300,120.7300,981228,0.0000,1.0000
2018-12-31,119.2500,120.7000,117.9700,119.7400,119.7400,1075456,0.0000,1.0000
2018-12-28,120.5400,121.1800,118.0000,118.8300,118.8300,837749,0.0000,1.0000
2018-12-27,115.0900,120.2200,114.7700,120.1600,120.1600,1616886,0.0000,1.0000
2018-12-26,112.2200,117.1100,110.5400,116.9800,116.9800,850837,0.0000,1.0000
2018-12-24,113.1600,114.2000,110.7100,111.2500,111.2500,786363,0.0000,1.0000
2018-12-21,115.6000,118.3600,113.6000,113.6900,113.6900,2128727,0.0000,1.0000
2018-12-20,116.7000,118.6549,114.3600,115.6000,115.6000,1732086,0.0000,1.0000
2018-12-19,120.5500,122.0800,117.1100,117.4400,117.4400,1830041,0.0000,1.0000
2018-12-18,121.1100,122.8200,118.8100,120.3100,120.3100,1456345,0.0000,1.0000
2018-12-17,119.2000,122.3550,117.2000,119.9800,119.9800,1949437,0.0000,1.0000
2018-12-14,116.1400,119.1100,116.0500,118.3600,118.3600,1658415,0.0000,1.0000
2018-12-13,120.9100,121.5300,117.6100,117.9000,117.9000,1183584,0.0000,1.0000
2018-12-12,122.1000,122.9500,119.7000,119.8300,119.8300,1537904,0.0000,1.0000
2018-12-11,124.0000,124.7800,119.5652,119.8100,119.8100,1433323,0.0000,1.0000
2018-12-10,122.4500,123.1600,119.0000,121.8600,121.8600,1333725,0.0000,1.0000
2018-12-07,126.5100,128.1700,122.3900,122.5900,122.5900,1636624,0.0000,1.0000
2018-12-06,123.3400,126.7000,121.1200,126.5200,126.5200,2552034,0.0000,1.0000
2018-12-04,134.8700,135.7500,126.0000,126.3500,126.3500,2745680,0.0000,1.0000
2018-12-03,135.5700,139.4500,134.9000,136.0200,136.0200,2620182,0.0000,1.0000
2018-11-30,127.1300,130.9400,127.1300,130.8500,130.8500,1339386,0.0000,1.0000
2018-11-29,127.2500,128.7500,124.9600,127.4600,127.4600,1091842,0.6600,1.0000
2018-11-28,126.4000,128.0300,123.0100,127.9200,127.2610,1450466,0.0000,1.0000
2018-11-27,127.1400,128.1700,124.6000,125.8700,125.2216,1123385,0.0000,1.0000
2018-11-26,127.2300,128.7500,126.9700,128.4200,127.7585,1087312,0.0000,1.0000
2018-11-23,124.3800,126.7650,124.3800,125.9400,125.2912,404861,0.0000,1.0000
2018-11-21,125.5100,127.8800,124.8250,125.6400,124.9928,977276,0.0000,1.0000
2018-11-20,124.5300,126.6100,123.0000,124.2300,123.5900,1353749,0.0000,1.0000
2018-11-19,129.9300,129.9400,126.1700,126.8700,126.2164,1343276,0.0000,1.0000
2018-11-16,128.2500,131.0300,126.6900,130.1900,129.5193,1345231,0.0000,1.0000
2018-11-15,123.7700,130.6500,122.8800,128.8400,128.1763,2055236,0.0000,1.0000
2018-11-14,126.1100,128.1500,124.1100,124.9900,124.3461,1591139,0.0000,1.0000
2018-11-13,122.4100,127.9100,122.4100,124.9300,124.2864,1113555,0.0000,1.0000
2018-11-12,125.4600,125.8000,121.7400,121.9700,121.3417,1515935,0.0000,1.0000
2018-11-09,127.5500,128.1700,124.4400,125.7400,125.0923,1435801,0.0000,1.0000
2018-11-08,128.1400,128.7300,127.1200,128.4300,127.7684,1482953,0.0000,1.0000
2018-11-07,126.8500,129.0700,125.5100,128.6900,128.0271,1575857,0.0000,1.0000
2018-11-06,123.6700,125.8999,122.8100,125.6800,125.0326,1416725,0.0000,1.0000
2018-11-05,124.4600,125.6800,122.6900,123.7800,123.1424,1485069,0.0000,1.0000
2018-11-02,125.2100,125.8250,122.6700,124.2400,123.6000,2484020,0.0000,1.0000
2018-11-01,116.7300,123.8000,115.7500,123.4800,122.8439,3536326,0.0000,1.0000
2018-10-31,114.8700,118.3200,114.6550,116.5200,115.9198,3213447,0.0000,1.0000
2018-10-30,109.2300,113.4100,108.4600,113.1900,112.6069,2081477,0.0000,1.0000
2018-10-29,111.3200,113.2700,106.9700,108.4500,107.8913,2022314,0.0000,1.0000
2018-10-26,112.8500,113.6000,108.1800,110.2100,109.6423,3085065,0.0000,1.0000
2018-10-25,107.6900,116.5900,106.4100,114.8600,114.2683,3644660,0.0000,1.0000
2018-10-24,118.0800,118.3700,112.9900,113.0800,112.4975,2178846,0.0000,1.0000
2018-10-23,115.7200,118.0800,113.6900,117.0800,116.4769,2040297,0.0000,1.0000
2018-10-22,119.0000,119.2162,117.5000,117.8200,117.2131,1352967,0.0000,1.0000
2018-10-19,120.6500,121.3400,117.4300,118.1000,117.4916,1475828,0.0000,1.0000
2018-10-18,122.1400,122.5100,118.7100,120.4500,119.8295,2922237,0.0000,1.0000
2018-10-17,127.6500,127.7700,123.1500,123.5700,122.9334,3386187,0.0000,1.0000
2018-10-16,128.7000,129.6300,127.5300,128.1000,127.4401,1333514,0.0000,1.0000
2018-10-15,129.1700,129.6300,127.8100,127.8600,127.2013,1290062,0.0000,1.0000
2018-10-12,133.2000,133.3500,127.3500,129.7700,129.1015,2014981,0.0000,1.0000
2018-10-11,130.2300,136.1000,129.7443,130.9200,130.2456,2626075,0.0000,1.0000
2018-10-10,134.6800,134.7700,129.9600,130.2300,129.5591,1914581,0.0000,1.0000
2018-10-09,140.3300,140.9500,134.3584,134.6800,133.9862,1893744,0.0000,1.0000
2018-10-08,142.0400,142.4400,139.4500,141.2000,140.4726,1181608,0.0000,1.0000
2018-10-05,145.4700,145.7510,141.5500,142.7200,141.9848,1098354,0.0000,1.0000
2018-10-04,146.4000,146.5400,144.1500,145.2900,144.5416,1037782,0.0000,1.0000
2018-10-03,148.1600,148.8300,146.4700,146.7500,145.9940,920304,0.0000,1.0000
2018-10-02,147.0300,147.7200,146.1900,147.5100,146.7501,843702,0.0000,1.0000
2018-10-01,147.1800,148.3500,146.4000,147.2700,146.5114,1205271,0.0000,1.0000
2018-09-28,147.3200,147.8000,146.1500,146.4400,145.6856,908064,0.0000,1.0000
2018-09-27,149.2500,149.4950,147.2700,147.4600,146.7004,805833,0.0000,1.0000
2018-09-26,149.0800,149.9800,148.1700,148.9300,148.1628,1234391,0.0000,1.0000
2018-09-25,151.5000,151.6800,148.9100,149.1700,148.4016,2134569,0.0000,1.0000
2018-09-24,154.0200,154.1300,150.4500,151.4900,150.7096,2334556,0.0000,1.0000
2018-09-21,154.6700,155.2200,153.0600,154.3600,153.5648,1660669,0.0000,1.0000
2018-09-20,152.5600,154.1600,151.9900,153.8300,153.0376,1736309,0.0000,1.0000
2018-09-19,150.9200,152.8400,150.6269,151.8000,151.0180,1626438,0.0000,1.0000
2018-09-18,149.6300,150.9500,148.1500,150.7600,149.9834,1334604,0.0000,1.0000
2018-09-17,148.9700,149.5700,147.9000,149.1900,148.4215,1355675,0.0000,1.0000
2018-09-14,147.3500,149.4000,147.3500,148.3400,147.5758,1589095,0.0000,1.0000
2018-09-13,146.7100,147.7900,146.1670,147.3600,146.6009,1229861,0.0000,1.0000
2018-09-12,142.0300,146.0400,141.3400,145.8600,145.1086,1482297,0.0000,1.0000
2018-09-11,141.9000,142.6013,140.2500,141.8400,141.1093,606808,0.0000,1.0000
2018-09-10,140.1600,142.9700,140.1600,142.3400,141.6067,941912,0.0000,1.0000
2018-09-07,140.1600,140.2800,138.0800,139.2000,138.4829,847039,0.0000,1.0000
2018-09-06,141.4700,142.7100,139.8100,140.9200,140.1941,1070346,0.6600,1.0000
2018-09-05,140.0000,142.6500,139.6700,142.3500,140.9565,1036148,0.0000,1.0000
2018-09-04,140.0000,140.3900,138.1000,140.0200,138.6493,1311313,0.0000,1.0000
2018-08-31,140.5200,141.0400,139.8100,140.5300,139.1543,1166018,0.0000,1.0000
2018-08-30,144.3100,144.9100,140.7150,141.0400,139.6593,1083022,0.0000,1.0000
2018-08-29,145.0000,145.7300,144.3100,144.4000,142.9865,1191698,0.0000,1.0000
2018-08-28,144.8000,145.4500,144.1400,145.1000,143.6796,1171803,0.0000,1.0000
2018-08-27,141.6100,144.4500,141.6100,144.3400,142.9270,1049986,0.0000,1.0000
2018-08-24,140.3900,141.0300,139.2500,140.9700,139.5900,736800,0.0000,1.0000
2018-08-23,142.0000,142.0000,139.2300,139.6000,138.2334,1219975,0.0000,1.0000
2018-08-22,144.6200,144.7300,141.8200,142.0400,140.6496,1133459,0.0000,1.0000
2018-08-21,142.4500,145.8600,142.4200,145.0000,143.5806,970023,0.0000,1.0000
2018-08-20,141.8100,143.2200,141.8100,142.3400,140.9466,698628,0.0000,1.0000
2018-08-17,140.3900,141.6600,140.3900,141.3900,140.0059,901126,0.0000,1.0000
2018-08-16,139.2200,140.7600,138.9000,140.1900,138.8177,876823,0.0000,1.0000
2018-08-15,136.9500,138.6400,135.7550,138.3500,136.9957,957779,0.0000,1.0000
2018-08-14,137.7400,138.6800,137.2900,137.9900,136.6392,918005,0.0000,1.0000
2018-08-13,139.2500,139.7100,136.3200,137.1100,135.7678,1007957,0.0000,1.0000
2018-08-10,141.3000,141.3000,138.6300,139.2400,137.8770,883522,0.0000,1.0000
2018-08-09,143.4300,143.4300,141.5600,141.8500,140.4614,1317249,0.0000,1.0000
2018-08-08,145.0100,145.1800,142.9800,143.2400,141.8378,1056327,0.0000,1.0000
2018-08-07,145.5800,146.5100,144.9100,145.0900,143.6697,927481,0.0000,1.0000
2018-08-06,144.9000,145.2300,144.0700,145.0000,143.5806,715698,0.0000,1.0000
