timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-01-16,44.0000,45.1069,43.6700,44.4900,44.4900,30458735,0.0000,1.0000
2019-01-15,42.2100,42.9900,42.0300,42.8800,42.8800,11737024,0.0000,1.0000
2019-01-14,41.3100,42.7900,41.1200,42.4800,42.4800,12336263,0.0000,1.0000
2019-01-11,41.2800,41.8700,40.9600,41.7400,41.7400,8191878,0.0000,1.0000
2019-01-10,41.3800,41.9600,41.2400,41.6600,41.6600,7560784,0.0000,1.0000
2019-01-09,41.9100,42.2100,41.2500,41.7400,41.7400,9223047,0.0000,1.0000
2019-01-08,42.3000,42.4100,41.0800,41.4500,41.4500,11398177,0.0000,1.0000
2019-01-07,41.5100,42.1600,40.9800,41.7100,41.7100,11812629,0.0000,1.0000
2019-01-04,40.5000,41.5800,40.2800,41.3000,41.3000,14371614,0.0000,1.0000
2019-01-03,40.2200,40.2200,39.2500,39.6800,39.6800,13034509,0.0000,1.0000
2019-01-02,39.0200,40.7200,38.7600,40.4000,40.4000,10648013,0.0000,1.0000
2018-12-31,39.6700,40.0800,39.0650,39.6500,39.6500,9518406,0.0000,1.0000
2018-12-28,39.9400,40.0000,38.9400,39.3700,39.3700,12854257,0.0000,1.0000
2018-12-27,38.4800,39.7700,38.3300,39.6600,39.6600,13897851,0.0000,1.0000
2018-12-26,37.2800,39.3950,36.7800,39.3000,39.3000,16814171,0.0000,1.0000
2018-12-24,37.6100,38.0000,36.7400,37.0100,37.0100,11444426,0.0000,1.0000
2018-12-21,38.4100,39.7200,37.4900,37.6800,37.6800,21528542,0.0000,1.0000
2018-12-20,38.8900,39.6600,38.5600,38.9100,38.9100,27520303,0.0000,1.0000
2018-12-19,39.9000,41.0800,38.8400,39.3000,39.3000,19412265,0.0000,1.0000
2018-12-18,39.9500,40.8200,39.6400,39.8900,39.8900,14538285,0.0000,1.0000
2018-12-17,39.2900,40.6600,39.0150,39.6000,39.6000,15786277,0.0000,1.0000
2018-12-14,40.0700,40.9400,39.5300,39.6400,39.6400,17332199,0.0000,1.0000
2018-12-13,40.8800,41.1200,40.3250,40.6000,40.6000,15964625,0.0000,1.0000
2018-12-12,41.1100,41.7600,40.8000,40.8100,40.8100,14207559,0.0000,1.0000
2018-12-11,41.5200,41.8800,40.1800,40.6200,40.6200,13619401,0.0000,1.0000
2018-12-10,41.0900,41.4200,39.5550,40.7100,40.7100,16323168,0.0000,1.0000
2018-12-07,42.4300,43.0600,40.9500,41.3200,41.3200,15499771,0.0000,1.0000
2018-12-06,41.6500,42.7300,40.9800,42.6100,42.6100,17552418,0.0000,1.0000
2018-12-04,45.0500,45.1700,42.3200,43.1200,43.1200,18401387,0.0000,1.0000
2018-12-03,45.0700,46.1400,45.0000,45.4100,45.4100,15436860,0.0000,1.0000
2018-11-30,44.3800,44.6100,43.9050,44.3900,44.3900,11282504,0.0000,1.0000
2018-11-29,44.9000,45.0850,44.3200,44.5100,44.5100,9203174,0.0000,1.0000
2018-11-28,44.2900,45.5300,43.6722,45.3100,45.3100,12380774,0.0000,1.0000
2018-11-27,44.0200,44.3987,43.8300,44.0500,44.0500,8035949,0.0000,1.0000
2018-11-26,43.7200,44.7000,43.7200,44.2800,44.2800,8862886,0.0000,1.0000
2018-11-23,43.2800,43.6100,43.0450,43.0800,43.0800,4822440,0.0000,1.0000
2018-11-21,43.2900,44.2250,43.1500,43.7300,43.7300,7961914,0.0000,1.0000
2018-11-20,43.8900,44.0100,42.5400,43.1000,43.1000,16035711,0.0000,1.0000
2018-11-19,44.1700,44.7850,44.0400,44.4100,44.4100,9856718,0.0000,1.0000
2018-11-16,43.9900,44.3350,43.4700,44.1300,44.1300,9775079,0.0000,1.0000
2018-11-15,43.3500,44.4700,43.1000,44.3000,44.3000,14057610,0.0000,1.0000
2018-11-14,45.0900,46.7500,43.0500,43.8500,43.8500,13265247,0.0000,1.0000
2018-11-13,43.6100,45.1300,43.4300,44.6800,44.6800,12346067,0.0000,1.0000
2018-11-12,45.5200,45.8500,43.9200,44.1300,44.1300,14302034,0.0000,1.0000
2018-11-09,46.3600,46.4400,45.6500,45.7300,45.7300,10017903,0.0000,1.0000
2018-11-08,46.3300,46.8500,46.2000,46.4300,46.4300,9484122,0.0000,1.0000
2018-11-07,46.1900,46.8100,45.6300,46.6100,46.6100,9951156,0.0000,1.0000
2018-11-06,45.7800,46.0700,45.2850,45.7200,45.7200,10737349,0.0000,1.0000
2018-11-05,46.0200,46.3550,45.6300,45.8200,45.8200,12318900,0.0000,1.0000
2018-11-02,46.5000,46.9500,45.5350,45.9500,45.9500,10478833,0.0000,1.0000
2018-11-01,45.8200,46.2000,45.4500,45.8900,45.8900,8679872,0.0000,1.0000
2018-10-31,45.1400,46.3400,45.1100,45.6600,45.6600,16928328,0.0000,1.0000
2018-10-30,44.0000,44.5900,43.5600,44.5000,44.5000,14780330,0.3000,1.0000
2018-10-29,44.5900,45.0750,43.2900,43.9500,43.6557,12869775,0.0000,1.0000
2018-10-26,43.7700,44.5170,43.2450,43.9700,43.6756,12997093,0.0000,1.0000
2018-10-25,43.9600,44.9600,43.9500,44.5500,44.2517,13838470,0.0000,1.0000
2018-10-24,44.7900,44.8000,43.3300,43.4900,43.1988,15067401,0.0000,1.0000
2018-10-23,44.0200,44.8100,43.3125,44.5200,44.2219,15095320,0.0000,1.0000
2018-10-22,46.4300,46.7200,45.0900,45.1100,44.8079,11166709,0.0000,1.0000
2018-10-19,46.0700,46.7250,45.6400,46.4200,46.1092,14931528,0.0000,1.0000
2018-10-18,46.9100,47.4900,45.7500,46.0300,45.7218,14873921,0.0000,1.0000
2018-10-17,45.9600,47.8400,45.5300,47.1900,46.8740,22122135,0.0000,1.0000
2018-10-16,45.7400,46.2000,44.4800,45.9400,45.6324,24174876,0.0000,1.0000
