timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-01-16,44.6400,45.2865,44.2900,44.8700,44.8700,5861008,0.0000,1.0000
2019-01-15,43.8200,44.3200,43.6200,44.0600,44.0600,4189727,0.0000,1.0000
2019-01-14,43.3000,44.1657,43.1500,43.9700,43.9700,3970088,0.0000,1.0000
2019-01-11,42.9900,43.7971,42.8700,43.7200,43.7200,3563548,0.0000,1.0000
2019-01-10,43.3700,43.7700,42.9300,43.3700,43.3700,6056565,0.0000,1.0000
2019-01-09,43.0300,43.8600,42.7450,43.5000,43.5000,6868380,0.0000,1.0000
2019-01-08,42.9600,43.3000,42.2600,42.7700,42.7700,4462230,0.0000,1.0000
2019-01-07,42.1400,42.9500,41.7600,42.5500,42.5500,5590237,0.0000,1.0000
2019-01-04,41.7000,42.5500,41.6400,42.2800,42.2800,5962448,0.0000,1.0000
2019-01-03,41.3600,41.6550,40.7350,40.8700,40.8700,6627871,0.0000,1.0000
2019-01-02,40.6100,41.7800,40.2500,41.6700,41.6700,5226857,0.0000,1.0000
2018-12-31,40.8500,41.3000,40.5150,41.0600,41.0600,4665446,0.0000,1.0000
2018-12-28,41.0900,41.2300,40.3450,40.6200,40.6200,6361634,0.0000,1.0000
2018-12-27,39.5200,40.9500,39.3300,40.9500,40.9500,10421630,0.0000,1.0000
2018-12-26,38.3300,40.2400,37.7600,40.1900,40.1900,8995077,0.0000,1.0000
2018-12-24,38.0900,39.2355,37.9100,38.2400,38.2400,6612974,0.0000,1.0000
2018-12-21,39.0700,40.0700,38.5300,38.6300,38.6300,12359588,0.0000,1.0000
2018-12-20,39.0900,40.1500,38.9500,39.3500,39.3500,11172644,0.0000,1.0000
2018-12-19,39.7100,40.9500,38.9200,39.2400,39.2400,11306871,0.0000,1.0000
2018-12-18,39.0800,40.0700,39.0400,39.6200,39.6200,9614892,0.0000,1.0000
2018-12-17,38.7600,39.8100,38.6200,38.8800,38.8800,10100296,0.0000,1.0000
2018-12-14,38.8600,39.8800,38.8100,38.8900,38.8900,6918905,0.0000,1.0000
2018-12-13,39.6600,39.8200,39.1300,39.5200,39.5200,7424233,0.0000,1.0000
2018-12-12,39.8500,40.3100,39.4100,39.5700,39.5700,6148636,0.0000,1.0000
2018-12-11,40.2300,40.7100,39.0400,39.2300,39.2300,7960438,0.0000,1.0000
2018-12-10,40.5000,40.6500,38.9000,39.6100,39.6100,8352283,0.0000,1.0000
2018-12-07,41.0800,41.9200,40.2300,40.6300,40.6300,8767855,0.0000,1.0000
2018-12-06,41.5800,41.5900,40.1250,41.1700,41.1700,11420865,0.0000,1.0000
2018-12-04,44.5400,44.6200,42.1000,42.4200,42.4200,9803566,0.0000,1.0000
2018-12-03,45.3000,45.8500,44.5100,44.8200,44.8200,8031462,0.0000,1.0000
2018-11-30,44.3700,44.8100,44.2450,44.6300,44.6300,6116123,0.0000,1.0000
2018-11-29,44.6400,45.0700,44.2800,44.3900,44.3900,5673076,0.0000,1.0000
2018-11-28,43.9700,45.0900,43.7200,45.0900,45.0900,6869715,0.0000,1.0000
2018-11-27,43.6200,44.3600,43.6000,44.0100,44.0100,7301773,0.0000,1.0000
2018-11-26,43.4600,44.2150,43.4050,43.7900,43.7900,6395892,0.0000,1.0000
2018-11-23,42.4300,43.3500,42.4100,42.8000,42.8000,2702817,0.0000,1.0000
2018-11-21,43.2700,43.9350,42.7500,42.9900,42.9900,6577766,0.0000,1.0000
2018-11-20,43.2900,43.3300,42.2300,42.8400,42.8400,9636078,0.0000,1.0000
2018-11-19,43.9400,44.1700,43.3600,43.6700,43.6700,7902199,0.0000,1.0000
2018-11-16,44.5400,44.7000,43.8200,43.9600,43.9600,8171860,0.0000,1.0000
2018-11-15,44.5500,44.9200,44.0243,44.8000,44.8000,8768504,0.0000,1.0000
2018-11-14,45.9900,46.3500,44.7200,45.0400,45.0400,6885793,0.0000,1.0000
2018-11-13,45.1600,46.1700,45.0700,45.4600,45.4600,6212589,0.0000,1.0000
2018-11-12,45.2300,45.4100,44.6300,44.7300,44.7300,5472592,0.0000,1.0000
