timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-01-17,21.1500,21.2300,20.9400,21.0200,21.0200,425898,0.0000,1.0000
2019-01-16,21.1500,21.3400,21.0000,21.1700,21.1700,5040169,0.0000,1.0000
2019-01-15,20.8500,21.1700,20.8100,21.1200,21.1200,5798611,0.0000,1.0000
2019-01-14,21.5100,21.5600,20.8200,20.8500,20.8500,8246313,0.0000,1.0000
2019-01-11,21.4700,21.6400,21.0900,21.6100,21.6100,8479966,0.0000,1.0000
2019-01-10,21.3400,21.5000,20.9600,21.4700,21.4700,11400297,0.0000,1.0000
2019-01-09,21.3900,21.6500,21.0600,21.3800,21.3800,10174730,0.0000,1.0000
2019-01-08,22.1200,22.2200,21.3500,21.4400,21.4400,12699740,0.0000,1.0000
2019-01-07,21.8500,22.5750,21.4800,22.3100,22.3100,7688369,0.0000,1.0000
2019-01-04,21.6900,22.2900,21.6200,21.8600,21.8600,10307810,0.0000,1.0000
2019-01-03,21.2700,21.6800,21.0400,21.5600,21.5600,8525978,0.0000,1.0000
2019-01-02,21.1400,21.5550,20.8000,21.3300,21.3300,9529842,0.0000,1.0000
2018-12-31,21.1500,21.6700,20.9100,21.3600,21.3600,8727907,0.0000,1.0000
2018-12-28,21.2000,21.9100,20.8600,21.1800,21.1800,10816744,0.0000,1.0000
2018-12-27,21.1800,21.2350,20.2600,21.2200,21.2200,14097668,0.0000,1.0000
2018-12-26,21.0100,21.4800,20.2200,21.4300,21.4300,11635258,0.0000,1.0000
2018-12-24,22.0600,22.1500,20.8050,20.9600,20.9600,8865656,0.0000,1.0000
2018-12-21,24.0100,24.4000,22.0300,22.1500,22.1500,23438525,0.0000,1.0000
2018-12-20,27.9100,28.4800,23.9800,24.2800,24.2800,19382972,0.0000,1.0000
2018-12-19,28.8400,29.8700,28.8400,29.0900,29.0900,9617828,0.0000,1.0000
2018-12-18,29.0400,29.2600,28.4050,28.5600,28.5600,6887919,0.0000,1.0000
2018-12-17,29.7000,29.8400,28.8450,29.0100,29.0100,6555445,0.0000,1.0000
2018-12-14,30.2500,30.4100,29.5750,29.8900,29.8900,7053753,0.0000,1.0000
2018-12-13,30.5900,30.8200,30.0800,30.3800,30.3800,6038098,0.0000,1.0000
2018-12-12,30.9300,31.0800,30.5800,30.5900,30.5900,4994774,0.0000,1.0000
2018-12-11,30.5900,31.1700,30.3800,30.6100,30.6100,4963471,0.0000,1.0000
2018-12-10,30.8500,30.9300,30.0500,30.4100,30.4100,5037260,0.0000,1.0000
2018-12-07,31.5800,31.8600,30.5500,30.8400,30.8400,4024141,0.0000,1.0000
2018-12-06,32.0700,32.1800,30.9000,31.6200,31.6200,6191508,0.0000,1.0000
2018-12-04,32.5400,32.8000,32.0300,32.0800,32.0800,4446546,0.0000,1.0000
2018-12-03,32.2700,32.6000,32.0850,32.4300,32.4300,4895844,0.0000,1.0000
2018-11-30,32.2000,32.3800,32.1500,32.3400,32.3400,7868825,0.0000,1.0000
2018-11-29,32.5100,32.7200,32.2200,32.2700,32.2700,5102648,0.0000,1.0000
2018-11-28,32.1400,32.5650,32.0100,32.4300,32.4300,6397097,0.0000,1.0000
2018-11-27,32.7000,32.7700,32.0600,32.2700,32.2700,5251270,0.0000,1.0000
2018-11-26,32.9800,33.0700,32.4600,32.6000,32.6000,6500843,0.0000,1.0000
2018-11-23,32.9100,33.3000,32.8100,33.1900,33.1900,1249540,0.0000,1.0000
2018-11-21,33.2200,33.4200,32.6100,32.8900,32.8900,4432435,0.0000,1.0000
2018-11-20,33.5200,33.7500,32.8600,33.2300,33.2300,5645671,0.0000,1.0000
2018-11-19,32.9900,33.6300,32.9900,33.4200,33.4200,7746971,0.0000,1.0000
2018-11-16,32.4300,33.2400,32.2700,33.0700,33.0700,8504695,0.0000,1.0000
2018-11-15,32.3300,32.5300,31.8600,32.4200,32.4200,8657658,0.0000,1.0000
2018-11-14,34.4900,34.4900,32.5500,32.6400,32.6400,12637471,0.0000,1.0000
2018-11-13,35.2500,35.7200,34.9500,35.1900,35.1900,5035932,0.0000,1.0000
2018-11-12,34.4100,35.5600,34.4100,35.2500,35.2500,7478931,0.0000,1.0000
2018-11-09,34.4600,34.8400,34.0600,34.3900,34.3900,9127892,0.0000,1.0000
2018-11-08,34.7600,34.8800,34.0850,34.4600,34.4600,8341634,0.0000,1.0000
2018-11-07,35.0700,35.1200,34.3700,34.7800,34.7800,6687726,0.0000,1.0000
2018-11-06,34.9700,35.1350,34.5000,35.0600,35.0600,7396445,0.0000,1.0000
2018-11-05,35.0000,35.2400,34.8200,35.0000,35.0000,7032430,0.0000,1.0000
2018-11-02,35.4800,35.5100,34.5400,35.0000,35.0000,6091965,0.0000,1.0000
2018-11-01,35.7500,35.8700,35.2500,35.6200,35.6200,5823429,0.0000,1.0000
2018-10-31,36.1300,36.1300,35.2500,35.6000,35.6000,9547925,0.0000,1.0000
2018-10-30,36.1500,36.7400,36.0200,36.3800,36.3800,6308201,0.0000,1.0000
2018-10-29,35.7550,36.5700,35.6450,35.9600,35.9600,9683543,0.0000,1.0000
2018-10-26,36.1200,36.1900,35.0600,35.4200,35.4200,8167134,0.0000,1.0000
2018-10-25,37.0300,37.1000,36.2600,36.3700,36.3700,27312664,0.0000,1.0000
2018-10-24,36.6000,37.6000,36.5100,37.1500,37.1500,13515664,0.0000,1.0000
2018-10-23,36.1200,36.7400,36.0000,36.4100,36.4100,9469883,0.0000,1.0000
2018-10-22,35.8300,36.3900,35.7200,36.2300,36.2300,6276524,0.0000,1.0000
2018-10-19,35.7100,36.1000,35.7100,35.8400,35.8400,4622544,0.0000,1.0000
2018-10-18,35.3200,35.9100,35.3200,35.4300,35.4300,5127356,0.0000,1.0000
2018-10-17,35.5900,35.7200,35.2000,35.3000,35.3000,5516005,0.0000,1.0000
2018-10-16,35.9300,36.2100,35.4900,35.6600,35.6600,6460372,0.2125,1.0000
2018-10-15,35.3800,36.2400,35.3400,36.0500,35.8364,6535959,0.0000,1.0000
2018-10-12,35.0600,35.4200,34.8200,35.3400,35.1307,5949014,0.0000,1.0000
2018-10-11,35.4800,35.6900,34.7700,34.8700,34.6634,11093750,0.0000,1.0000
2018-10-10,36.4200,36.5000,35.2500,35.2700,35.0611,16497411,0.0000,1.0000
2018-10-09,34.5400,35.7600,34.5105,35.5700,35.3593,10054738,0.0000,1.0000
2018-10-08,34.0000,34.7400,33.8600,34.6500,34.4447,5676974,0.0000,1.0000
2018-10-05,33.5200,33.6900,33.4100,33.5900,33.3910,3972973,0.0000,1.0000
2018-10-04,33.3200,33.5500,33.2100,33.5400,33.3413,4768507,0.0000,1.0000
2018-10-03,33.4500,33.6600,33.3000,33.4300,33.2320,6173993,0.0000,1.0000
2018-10-02,33.4700,33.7400,33.3100,33.4100,33.2121,5520343,0.0000,1.0000
2018-10-01,34.0200,34.0700,33.1200,33.4500,33.2519,7758624,0.0000,1.0000
2018-09-28,33.0000,34.0300,32.9500,33.9700,33.7688,13826649,0.0000,1.0000
2018-09-27,34.2100,34.5300,32.8150,32.9800,32.7846,16568675,0.0000,1.0000
2018-09-26,36.1200,36.4600,36.0500,36.0600,35.8464,4952749,0.0000,1.0000
2018-09-25,36.8200,36.8200,36.0350,36.2000,35.9856,4386013,0.0000,1.0000
2018-09-24,37.3800,37.4700,36.6300,36.7700,36.5522,3896492,0.0000,1.0000
2018-09-21,37.2500,37.6000,37.2000,37.4500,37.2282,4096524,0.0000,1.0000
2018-09-20,37.0300,37.3300,36.7900,37.1800,36.9598,3511802,0.0000,1.0000
2018-09-19,37.7600,37.7800,36.9200,37.0200,36.8007,4067331,0.0000,1.0000
2018-09-18,38.0500,38.0500,37.4400,37.7500,37.5264,2983219,0.0000,1.0000
