timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-01-16,41.9700,42.3000,41.6900,42.2700,42.2700,4905034,0.0000,1.0000
2019-01-15,41.6800,42.0600,41.4600,41.9000,41.9000,4486431,0.0000,1.0000
2019-01-14,41.6500,41.8000,41.4200,41.7900,41.7900,3874752,0.0000,1.0000
2019-01-11,41.4500,41.8200,41.0800,41.8000,41.8000,7417596,0.0000,1.0000
2019-01-10,40.4200,41.4400,40.4200,41.4200,41.4200,8279792,0.0000,1.0000
2019-01-09,40.3500,40.7750,40.0500,40.4200,40.4200,4521284,0.4900,1.0000
2019-01-08,40.7900,41.2200,40.6300,41.0900,40.5978,6609402,0.0000,1.0000
2019-01-07,39.8100,40.7400,39.4900,40.4800,39.9952,5695787,0.0000,1.0000
2019-01-04,39.1200,39.9400,38.9000,39.8200,39.3431,6326091,0.0000,1.0000
2019-01-03,38.3800,39.4100,38.2000,39.0300,38.5625,6359832,0.0000,1.0000
2019-01-02,38.8200,38.9400,38.1200,38.4300,37.9697,6479275,0.0000,1.0000
2018-12-31,38.7400,38.9850,38.2843,38.9400,38.4736,5293032,0.0000,1.0000
2018-12-28,39.0800,39.4600,38.5000,38.7600,38.2958,5779579,0.0000,1.0000
2018-12-27,38.3200,39.0300,37.3550,39.0300,38.5625,8036134,0.0000,1.0000
2018-12-26,37.8100,38.4300,37.3400,38.4200,37.9598,6692656,0.0000,1.0000
2018-12-24,38.7300,38.8600,37.5400,37.5900,37.1398,3958011,0.0000,1.0000
2018-12-21,39.0000,40.4200,38.7500,38.8100,38.3452,13092173,0.0000,1.0000
2018-12-20,38.1900,39.2300,37.4200,39.0700,38.6020,10024615,0.0000,1.0000
2018-12-19,38.8000,40.3800,38.4100,38.5500,38.0883,14213523,0.0000,1.0000
2018-12-18,36.9900,37.3400,36.5500,36.7000,36.2604,8108659,0.0000,1.0000
2018-12-17,37.4100,37.7000,36.4200,36.7400,36.2999,8633254,0.0000,1.0000
2018-12-14,38.0100,38.0700,37.2200,37.3800,36.9323,6719511,0.0000,1.0000
2018-12-13,38.5600,38.6800,38.0700,38.1200,37.6634,7061167,0.0000,1.0000
2018-12-12,38.9400,39.3050,38.5100,38.5600,38.0981,9250171,0.0000,1.0000
2018-12-11,38.7100,39.4477,38.4500,38.7300,38.2661,6570084,0.0000,1.0000
2018-12-10,38.7400,38.9400,38.0750,38.5400,38.0784,6664824,0.0000,1.0000
2018-12-07,39.5600,39.7000,38.1700,38.4800,38.0191,10226784,0.0000,1.0000
2018-12-06,40.3400,40.3800,39.3200,39.7300,39.2541,12064759,0.0000,1.0000
2018-12-04,41.6600,41.9500,40.2100,40.2700,39.7877,8535324,0.0000,1.0000
2018-12-03,42.0600,42.3400,41.0600,41.5000,41.0029,7978464,0.0000,1.0000
2018-11-30,42.1100,42.5900,41.9900,42.3100,41.8032,6085227,0.0000,1.0000
2018-11-29,41.8500,42.3800,41.7000,42.2100,41.7044,6458199,0.0000,1.0000
2018-11-28,41.9500,41.9550,41.3700,41.8800,41.3784,5269587,0.0000,1.0000
2018-11-27,42.2300,42.6450,41.8900,42.4500,41.9416,4094061,0.0000,1.0000
2018-11-26,43.3900,43.6400,42.3200,42.3800,41.8724,4637166,0.0000,1.0000
2018-11-23,43.3900,43.6400,43.0400,43.3700,42.8505,1114564,0.0000,1.0000
2018-11-21,44.1200,44.1500,43.0850,43.3100,42.7913,4111868,0.0000,1.0000
2018-11-20,44.4800,45.1000,43.9800,44.1800,43.6508,3717681,0.0000,1.0000
2018-11-19,44.2300,44.7800,43.6900,44.2300,43.7002,6875855,0.0000,1.0000
2018-11-16,45.1800,45.4700,44.1100,44.1800,43.6508,6056446,0.0000,1.0000
2018-11-15,44.8900,45.4200,44.4897,45.2300,44.6883,4013390,0.0000,1.0000
2018-11-14,45.2500,45.8300,45.0100,45.3000,44.7574,3837639,0.0000,1.0000
2018-11-13,45.6900,46.3300,45.2000,45.4800,44.9353,3719533,0.0000,1.0000
2018-11-12,45.2500,46.1300,45.2500,45.6800,45.1329,4211714,0.0000,1.0000
2018-11-09,44.4800,45.4200,44.4800,45.3100,44.7673,4825520,0.0000,1.0000
2018-11-08,43.7000,44.5500,43.6959,44.4400,43.9077,3676852,0.0000,1.0000
2018-11-07,43.9900,44.0600,43.1300,43.8500,43.3248,3631721,0.0000,1.0000
2018-11-06,42.8800,43.9400,42.7400,43.8200,43.2951,3773389,0.0000,1.0000
2018-11-05,42.2700,43.3000,42.2600,42.9700,42.4553,5852692,0.0000,1.0000
2018-11-02,43.8700,44.0700,41.7400,42.1700,41.6649,9583112,0.0000,1.0000
2018-11-01,43.9500,44.5100,43.7176,44.3200,43.7892,4365462,0.0000,1.0000
2018-10-31,44.6800,44.6800,43.1200,43.8000,43.2754,6805391,0.0000,1.0000
2018-10-30,44.5400,45.5600,44.3500,45.5000,44.9550,7296614,0.0000,1.0000
2018-10-29,43.7500,44.6800,43.7500,44.1400,43.6113,5483668,0.0000,1.0000
2018-10-26,44.4100,44.9300,43.2500,43.5200,42.9987,5142628,0.0000,1.0000
2018-10-25,44.6250,45.0000,44.1100,44.4700,43.9374,4140941,0.0000,1.0000
