timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-01-16,140.7400,141.2400,139.0400,139.5700,139.5700,1212138,0.0000,1.0000
2019-01-15,139.9100,141.7600,139.0700,140.7900,140.7900,762970,0.0000,1.0000
2019-01-14,138.7800,139.9400,138.3794,139.3900,139.3900,966427,0.0000,1.0000
2019-01-11,141.0800,141.3400,139.0000,140.1200,140.1200,949036,0.0000,1.0000
2019-01-10,139.9700,140.9700,138.3200,140.8800,140.8800,1237584,0.0000,1.0000
2019-01-09,140.0700,141.5900,139.5600,140.2900,140.2900,1045846,0.0000,1.0000
2019-01-08,137.9200,140.3800,137.2814,140.3000,140.3000,1225869,0.0000,1.0000
2019-01-07,136.7000,140.1500,136.2900,137.8400,137.8400,1330423,0.0000,1.0000
2019-01-04,136.6800,138.6700,136.0900,136.6700,136.6700,1445330,0.0000,1.0000
2019-01-03,135.6700,138.1000,135.5250,136.2600,136.2600,1153119,0.0000,1.0000
2019-01-02,137.7800,138.1500,134.4850,135.6200,135.6200,1838578,0.0000,1.0000
2018-12-31,139.4400,139.8400,137.8000,139.2400,139.2400,658267,0.0000,1.0000
2018-12-28,140.1200,140.5800,137.4400,139.0100,139.0100,1293111,0.5700,1.0000
2018-12-27,137.3300,140.1000,135.1900,140.0400,139.4681,1005780,0.0000,1.0000
2018-12-26,134.5800,138.3400,134.0200,138.3400,137.7751,845203,0.0000,1.0000
2018-12-24,138.0400,138.1800,134.0500,134.0500,133.5026,712791,0.0000,1.0000
2018-12-21,138.9900,143.8600,137.7700,138.1400,137.5759,2155985,0.0000,1.0000
2018-12-20,141.3900,143.1000,137.5500,139.0500,138.4822,2253933,0.0000,1.0000
2018-12-19,147.0600,148.6100,141.6900,141.9500,141.3703,2681765,0.0000,1.0000
2018-12-18,146.5600,148.2200,144.7250,145.6800,145.0851,1528971,0.0000,1.0000
2018-12-17,150.9000,151.6000,145.2000,146.1300,145.5333,1812172,0.0000,1.0000
2018-12-14,155.2900,155.5100,151.3100,151.5700,150.9510,1060080,0.0000,1.0000
2018-12-13,154.6600,156.0000,153.7600,155.8300,155.1936,866679,0.0000,1.0000
2018-12-12,154.4300,155.7900,153.7900,154.8900,154.2575,1140622,0.0000,1.0000
2018-12-11,152.1900,154.7000,151.4800,152.9100,152.2856,924374,0.0000,1.0000
2018-12-10,150.8100,151.3100,147.6050,151.2500,150.6323,1153250,0.0000,1.0000
2018-12-07,151.7600,152.0900,149.4500,150.3900,149.7759,783279,0.0000,1.0000
2018-12-06,151.7000,152.4800,148.1600,151.6300,151.0108,1285809,0.0000,1.0000
2018-12-04,151.6200,154.3200,151.2000,151.5600,150.9411,1053124,0.0000,1.0000
2018-12-03,150.6500,151.7300,149.5600,151.5000,150.8813,1149066,0.0000,1.0000
2018-11-30,148.9700,150.2000,148.5800,150.0000,149.3874,1338059,0.0000,1.0000
2018-11-29,147.9200,150.3900,147.7600,149.0500,148.4413,880996,0.0000,1.0000
2018-11-28,147.2900,147.9600,146.0600,147.9600,147.3558,912526,0.0000,1.0000
2018-11-27,145.5800,147.4000,144.4700,147.1200,146.5192,1146600,0.0000,1.0000
2018-11-26,145.7300,146.0755,143.8500,144.7400,144.1489,1489518,0.0000,1.0000
2018-11-23,144.0100,145.9000,143.3900,145.1800,144.5871,919507,0.0000,1.0000
